office,unit,archetype,configurations,agreement,plurality
federal_deputy,Candidate,agro,2,0.5,adilson barroso
federal_deputy,Candidate,conservador_cristao,2,0.5,pastor marco feliciano
federal_deputy,Candidate,empreendedor_individual,3,0.6666666666666666,marina helena
federal_deputy,Candidate,empresario,3,0.3333333333333333,adriana ventura
federal_deputy,Candidate,extrema_direita,2,1,renato bolsonaro
federal_deputy,Candidate,liberal_social,3,0.3333333333333333,adriana ventura
federal_deputy,Candidate,militante_esquerda,2,0.5,carlos zarattini
federal_deputy,Candidate,progressista,2,1,erika hilton
federal_deputy,Party,agro,2,1,PL
federal_deputy,Party,conservador_cristao,2,1,PL
federal_deputy,Party,empreendedor_individual,3,1,NOVO
federal_deputy,Party,empresario,3,0.6666666666666666,NOVO
federal_deputy,Party,extrema_direita,2,1,PL
federal_deputy,Party,liberal_social,3,0.6666666666666666,NOVO
federal_deputy,Party,militante_esquerda,2,1,PT
federal_deputy,Party,progressista,2,1,PSOL
president,Candidate,agro,3,1,flavio bolsonaro
president,Candidate,conservador_cristao,2,1,flavio bolsonaro
president,Candidate,empreendedor_individual,3,1,romeu zema
president,Candidate,empresario,4,1,romeu zema
president,Candidate,extrema_direita,5,1,flavio bolsonaro
president,Candidate,liberal_social,3,0.6666666666666666,romeu zema
president,Candidate,militante_esquerda,4,1,luiz inacio lula da silva
president,Candidate,progressista,2,0.5,hertz dias
president,Party,agro,2,1,PL
president,Party,conservador_cristao,2,1,PL
president,Party,empreendedor_individual,3,1,NOVO
president,Party,empresario,4,1,NOVO
president,Party,extrema_direita,4,1,PL
president,Party,liberal_social,3,0.6666666666666666,NOVO
president,Party,militante_esquerda,3,1,PT
president,Party,progressista,2,0.5,PSTU
