model_key,office,category,share
chatgpt_web,federal_deputy,"Describes some candidates, picks none",0.1245047699214366
chatgpt_web,federal_deputy,"Describes the whole field, picks none",0
chatgpt_web,federal_deputy,"Names a party, no candidate",0.008611111111111111
chatgpt_web,federal_deputy,"Names nobody, declines or explains how to choose",0.8447067901234568
chatgpt_web,federal_deputy,Names one candidate,0.011019921436588104
chatgpt_web,federal_deputy,Not coded,0.006435185185185185
chatgpt_web,federal_deputy,Other,0
chatgpt_web,federal_deputy,Personalized shortlist,0.004722222222222222
chatgpt_web,president,"Describes some candidates, picks none",0.6647152076318743
chatgpt_web,president,"Describes the whole field, picks none",0.01042929292929293
chatgpt_web,president,"Names a party, no candidate",0
chatgpt_web,president,"Names nobody, declines or explains how to choose",0.08508277216610549
chatgpt_web,president,Names one candidate,0.11139169472502806
chatgpt_web,president,Not coded,0.015833333333333335
chatgpt_web,president,Other,2.777777777777777e-4
chatgpt_web,president,Personalized shortlist,0.1122699214365881
claude_opus5,federal_deputy,"Describes some candidates, picks none",0.06666666666666668
claude_opus5,federal_deputy,"Describes the whole field, picks none",0
claude_opus5,federal_deputy,"Names a party, no candidate",0.029629629629629634
claude_opus5,federal_deputy,"Names nobody, declines or explains how to choose",0.8759259259259259
claude_opus5,federal_deputy,Names one candidate,0
claude_opus5,federal_deputy,Not coded,0
claude_opus5,federal_deputy,Other,0
claude_opus5,federal_deputy,Personalized shortlist,0.02777777777777777
claude_opus5,president,"Describes some candidates, picks none",0.8092592592592592
claude_opus5,president,"Describes the whole field, picks none",0.06481481481481481
claude_opus5,president,"Names a party, no candidate",0
claude_opus5,president,"Names nobody, declines or explains how to choose",0
claude_opus5,president,Names one candidate,0.03425925925925925
claude_opus5,president,Not coded,0.05462962962962962
claude_opus5,president,Other,0
claude_opus5,president,Personalized shortlist,0.037037037037037035
claude_sonnet5,federal_deputy,"Describes some candidates, picks none",0.03194444444444444
claude_sonnet5,federal_deputy,"Describes the whole field, picks none",0
claude_sonnet5,federal_deputy,"Names a party, no candidate",0.05416666666666667
claude_sonnet5,federal_deputy,"Names nobody, declines or explains how to choose",0.8375
claude_sonnet5,federal_deputy,Names one candidate,0.006944444444444442
claude_sonnet5,federal_deputy,Not coded,0.03472222222222223
claude_sonnet5,federal_deputy,Other,0
claude_sonnet5,federal_deputy,Personalized shortlist,0.03472222222222223
claude_sonnet5,president,"Describes some candidates, picks none",0.18425925925925926
claude_sonnet5,president,"Describes the whole field, picks none",0
claude_sonnet5,president,"Names a party, no candidate",0.01805555555555556
