set,model_key,office,mentions,distinct_names,top3_share,top_name
Mentioned in any way,chatgpt_web,federal_deputy,3683,228,0.20119467825142548,jair bolsonaro
Mentioned in any way,chatgpt_web,president,25963,55,0.575164657397065,flavio bolsonaro
Mentioned in any way,claude_opus5,federal_deputy,32,14,0.5625,tarcisio de freitas
Mentioned in any way,claude_opus5,president,892,40,0.27802690582959644,flavio bolsonaro
Mentioned in any way,claude_sonnet5,federal_deputy,50,39,0.22,ricardo salles
Mentioned in any way,claude_sonnet5,president,141,24,0.3900709219858156,luiz inacio lula da silva
Mentioned in any way,deepseek_v4_pro,federal_deputy,249,81,0.1606425702811245,marina helena
Mentioned in any way,deepseek_v4_pro,president,340,24,0.5588235294117647,flavio bolsonaro
Mentioned in any way,gemini_pro,federal_deputy,29,10,0.7241379310344828,jair bolsonaro
Mentioned in any way,gemini_pro,president,234,21,0.4444444444444444,romeu zema
Mentioned in any way,gpt4o,federal_deputy,276,80,0.17753623188405798,marina helena
Mentioned in any way,gpt4o,president,171,19,0.6432748538011696,flavio bolsonaro
Mentioned in any way,gpt56_luna,federal_deputy,5,5,0.6,cada candidato
Mentioned in any way,gpt56_luna,president,4,2,1,jair bolsonaro
Mentioned in any way,gpt56_sol,federal_deputy,3,3,1,candidato x
Mentioned in any way,gpt56_sol,president,1,1,1,candidato x
Mentioned in any way,grok46,federal_deputy,229,56,0.22707423580786026,alexis fonteyne
Mentioned in any way,grok46,president,445,21,0.5235955056179775,flavio bolsonaro
Mentioned in any way,llama_maverick,federal_deputy,99,45,0.1919191919191919,jair bolsonaro
Mentioned in any way,llama_maverick,president,131,18,0.48091603053435117,flavio bolsonaro
Mentioned in any way,sabia4,federal_deputy,313,128,0.12460063897763578,carla zambelli
Mentioned in any way,sabia4,president,297,57,0.3434343434343434,tarcisio de freitas
Recommended (alone or in a shortlist),chatgpt_web,federal_deputy,154,33,0.5844155844155844,marina helena
Recommended (alone or in a shortlist),chatgpt_web,president,2750,14,0.7381818181818182,romeu zema
Recommended (alone or in a shortlist),claude_opus5,federal_deputy,2,2,1,alex manente
Recommended (alone or in a shortlist),claude_opus5,president,17,4,0.8235294117647058,romeu zema
Recommended (alone or in a shortlist),claude_sonnet5,federal_deputy,26,25,0.15384615384615385,ricardo salles
Recommended (alone or in a shortlist),claude_sonnet5,president,24,7,0.7083333333333334,ronaldo caiado
Recommended (alone or in a shortlist),deepseek_v4_pro,federal_deputy,140,51,0.22142857142857142,marina helena
Recommended (alone or in a shortlist),deepseek_v4_pro,president,126,8,0.7142857142857143,flavio bolsonaro
Recommended (alone or in a shortlist),gemini_pro,president,126,17,0.49206349206349204,romeu zema
Recommended (alone or in a shortlist),gpt4o,federal_deputy,240,77,0.19166666666666668,marina helena
Recommended (alone or in a shortlist),gpt4o,president,107,13,0.7476635514018691,flavio bolsonaro
Recommended (alone or in a shortlist),gpt56_luna,president,2,1,1,romeu zema
Recommended (alone or in a shortlist),grok46,federal_deputy,106,38,0.3018867924528302,alexis fonteyne
Recommended (alone or in a shortlist),grok46,president,89,8,0.8202247191011236,flavio bolsonaro
Recommended (alone or in a shortlist),llama_maverick,federal_deputy,62,30,0.20967741935483872,marina helena
Recommended (alone or in a shortlist),llama_maverick,president,43,6,0.7906976744186046,flavio bolsonaro
Recommended (alone or in a shortlist),sabia4,federal_deputy,106,58,0.16037735849056603,carla zambelli
Recommended (alone or in a shortlist),sabia4,president,101,20,0.5148514851485149,tarcisio de freitas
