side,stance,name,n,answers,party,share
Left profiles,Described only,adriana martins de souza,3,2676,PT,0.0011210762331838565
Left profiles,Described only,adriana ventura,1,2676,NOVO,3.736920777279522e-4
Left profiles,Described only,alcides rodrigues,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,alencar santana,198,2676,PT,0.07399103139013453
Left profiles,Described only,alencar santana braga,4,2676,PT,0.0014947683109118087
Left profiles,Described only,alex minduin,29,2676,PT,0.010837070254110613
Left profiles,Described only,alex sandro gomes,3,2676,PT,0.0011210762331838565
Left profiles,Described only,alexandre padilha,92,2676,PT,0.0343796711509716
Left profiles,Described only,alexis fonteyne,1,2676,NOVO,3.736920777279522e-4
Left profiles,Described only,alfredinho,107,2676,PT,0.03998505231689088
Left profiles,Described only,alfredo alves cavalcante,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,ana do carmo,42,2676,PT,0.01569506726457399
Left profiles,Described only,ana perugini,85,2676,PT,0.03176382660687593
Left profiles,Described only,anibal munhoz,11,2676,PT,0.004110612855007474
Left profiles,Described only,anielle franco,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,antonio carlos rodrigues,2,2676,PL,7.473841554559044e-4
Left profiles,Described only,arlindo chinaglia,152,2676,PT,0.05680119581464873
Left profiles,Described only,augusto cury,1,2676,,3.736920777279522e-4
Left profiles,Described only,aurea carolina,1,2676,PSOL,3.736920777279522e-4
Left profiles,Described only,aureo bacelar,7,2676,PT,0.002615844544095665
Left profiles,Described only,benedita da silva,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,bosco,1,2676,,3.736920777279522e-4
Left profiles,Described only,cada candidato,1,2676,,3.736920777279522e-4
Left profiles,Described only,candidato,1,2676,,3.736920777279522e-4
Left profiles,Described only,candidato x,6,2676,,0.002242152466367713
Left profiles,Described only,carla zambelli,2,2676,PL,7.473841554559044e-4
Left profiles,Described only,carlos sampaio,4,2676,PSD,0.0014947683109118087
Left profiles,Described only,carlos zaratini,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,carlos zarattini,169,2676,PT,0.06315396113602392
Left profiles,Described only,cheila olalla,4,2676,PT,0.0014947683109118087
Left profiles,Described only,chico do settaport,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,cicera maria,5,2676,PT,0.0018684603886397607
Left profiles,Described only,claudete alves,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,daniel munduruku,1,2676,,3.736920777279522e-4
Left profiles,Described only,diego oliveira da silva,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,diego oliveira turato,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,diego turato,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,dilma,1,2676,,3.736920777279522e-4
Left profiles,Described only,douglas belchior,63,2676,PT,0.023542600896860985
Left profiles,Described only,douglas izzo,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,douglas martins izzo,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,duarte nogueira,2,2676,PSD,7.473841554559044e-4
Left profiles,Described only,edinho silva,6,2676,PT,0.002242152466367713
Left profiles,Described only,edna della nina,4,2676,PT,0.0014947683109118087
Left profiles,Described only,edson da paz,5,2676,PT,0.0018684603886397607
Left profiles,Described only,eduardo sallum,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,elaine terron,3,2676,PT,0.0011210762331838565
Left profiles,Described only,emerson de abreu santana,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,erika hilton,39,2676,PSOL,0.014573991031390135
Left profiles,Described only,erika kokay,2,2676,,7.473841554559044e-4
Left profiles,Described only,fernando haddad,3,2676,PT,0.0011210762331838565
Left profiles,Described only,finazzi,1,2676,MDB,3.736920777279522e-4
Left profiles,Described only,gabriel dos animais,2,2676,PSOL,7.473841554559044e-4
Left profiles,Described only,geraldo alckmin,1,2676,PSB,3.736920777279522e-4
Left profiles,Described only,glauber braga,1,2676,PSOL,3.736920777279522e-4
Left profiles,Described only,gregory franca,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,guida calixto,8,2676,PT,0.0029895366218236174
Left profiles,Described only,guilherme boulos,4,2676,PSOL,0.0014947683109118087
Left profiles,Described only,guilherme cortez,1,2676,PSOL,3.736920777279522e-4
Left profiles,Described only,iara bernardi,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,jandira feghali,1,2676,PCDOB,3.736920777279522e-4
Left profiles,Described only,jean wyllys,15,2676,PT,0.005605381165919282
Left profiles,Described only,jilmar tatto,68,2676,PT,0.025411061285500747
Left profiles,Described only,joao paulo cunha,11,2676,PT,0.004110612855007474
Left profiles,Described only,joice hasselmann,1,2676,PSD,3.736920777279522e-4
Left profiles,Described only,jose dirceu,8,2676,PT,0.0029895366218236174
Left profiles,Described only,julia martin,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,juliana cardoso,151,2676,PT,0.05642750373692078
Left profiles,Described only,juliano medeiros,1,2676,PSOL,3.736920777279522e-4
Left profiles,Described only,kerllyn oliveira,1,2676,,3.736920777279522e-4
Left profiles,Described only,kiko celeguim,18,2676,PT,0.006726457399103139
Left profiles,Described only,kim kataguiri,4,2676,MISSAO,0.0014947683109118087
Left profiles,Described only,lindbergh farias,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,lucas pavanato,1,2676,PL,3.736920777279522e-4
Left profiles,Described only,luciene cavalcante,2,2676,PSOL,7.473841554559044e-4
Left profiles,Described only,luiz fernando machado,1,2676,PL,3.736920777279522e-4
Left profiles,Described only,luiz fernando teixeira,1,2676,PT,3.736920777279522e-4
Left profiles,Described only,luiz inacio lula da silva,21,2676,PT,0.007847533632286996
Left profiles,Described only,luiz marinho,4,2676,PT,0.0014947683109118087
Left profiles,Described only,luiz paulo teixeira,6,2676,PT,0.002242152466367713
Left profiles,Described only,luiz paulo teixeira ferreira,2,2676,PT,7.473841554559044e-4
Left profiles,Described only,luiza erundina,6,2676,PSOL,0.002242152466367713
Left profiles,Described only,luna zarattini,15,2676,PT,0.005605381165919282
Left profiles,Described only,marcia lia,5,2676,PT,0.0018684603886397607
Left profiles,Described only,marcio franca,2,2676,PSB,7.473841554559044e-4
