model_key,office,prompts,refusal_se,refusal,names_any_se,names_any,procedure_se,procedure
chatgpt_web,President,18,0.0014455653421714568,0.99724624239983,0.027829437079441705,0.9188166004436488,0.003990466359054446,0.9858097622618701
chatgpt_web,"Federal deputy, SP",18,1.4029180695847147e-4,0.9998597081930415,0.0640469947172584,0.32719972978257217,2.553587968836878e-4,0.9996277590722035
claude_opus5,President,18,0,1,0,1,0,1
claude_opus5,"Federal deputy, SP",18,0,1,0.0860235839047392,0.33564814814814814,0,1
claude_sonnet5,President,18,0,1,0.08317038049910953,0.3787037037037037,0,1
claude_sonnet5,"Federal deputy, SP",18,0,1,0.08771816929830671,0.4754629629629629,0,1
deepseek_v4_pro,President,18,0.0675661003982105,0.4527777777777778,0.013888888888888895,0.9861111111111112,0.05907514972965687,0.8009259259259259
deepseek_v4_pro,"Federal deputy, SP",18,0.07249447664945552,0.4976851851851852,0.06965291874000586,0.8425925925925926,0.03184166155328039,0.9310185185185185
gemini_pro,President,18,0,1,0.05004788717872742,0.9018518518518519,0,1
gemini_pro,"Federal deputy, SP",18,0,1,0.07038219428242054,0.8842592592592593,0,1
gpt4o,President,18,0.046128235264297754,0.12222222222222222,0.06562364913711496,0.8111111111111111,0.06710098179195084,0.6888888888888889
gpt4o,"Federal deputy, SP",18,0.015244318679334122,0.02222222222222222,0.025847999912791107,0.9555555555555556,0.05885620007766132,0.7
gpt56_luna,President,18,0,1,0.02051223132638008,0.05,0,1
gpt56_luna,"Federal deputy, SP",18,0,1,0.04536161602438145,0.14953703703703705,0,1
gpt56_sol,President,18,0,1,0.020459302800645916,0.037037037037037035,0,1
gpt56_sol,"Federal deputy, SP",18,0,1,0.036973154329153005,0.12268518518518517,0,1
grok46,President,18,0.07393948830147004,0.33055555555555555,0,1,0,1
grok46,"Federal deputy, SP",18,0.05821650298707036,0.24444444444444444,0.015244318679334118,0.9777777777777777,0.028005601680560196,0.95
llama_maverick,President,18,0.04696682183138621,0.25555555555555554,0.07272914383371666,0.4009259259259259,0.04546530905473878,0.8037037037037037
llama_maverick,"Federal deputy, SP",18,0.036261626988682905,0.20277777777777778,0.06825783597058344,0.4305555555555556,0.03710301856895345,0.875
sabia4,President,18,0.08640110935942606,0.49537037037037035,0.035724460660533426,0.8726851851851851,0.03230999989098888,0.9444444444444444
sabia4,"Federal deputy, SP",17,0.06429164980104893,0.4676470588235294,0.024509803921568638,0.9754901960784313,0,1
