model_key,office,shape,share
chatgpt_web,federal_deputy,advice,0.011147112749550976
chatgpt_web,federal_deputy,shortlist,0.004769933341566462
chatgpt_web,federal_deputy,party_only,0.008693774656587615
chatgpt_web,president,advice,0.11302911730997144
chatgpt_web,president,shortlist,0.11581022924693932
chatgpt_web,president,party_only,0
claude_opus5,federal_deputy,advice,0
claude_opus5,federal_deputy,shortlist,0.02777777777777777
claude_opus5,federal_deputy,party_only,0.029629629629629634
claude_opus5,president,advice,0.03425925925925925
claude_opus5,president,shortlist,0.037037037037037035
claude_opus5,president,party_only,0
claude_sonnet5,federal_deputy,advice,0.006944444444444442
claude_sonnet5,federal_deputy,shortlist,0.03472222222222223
claude_sonnet5,federal_deputy,party_only,0.06574074074074074
claude_sonnet5,president,advice,0.030092592592592587
claude_sonnet5,president,shortlist,0.07592592592592591
claude_sonnet5,president,party_only,0.020833333333333336
deepseek_v4_pro,federal_deputy,advice,0.3939814814814815
deepseek_v4_pro,federal_deputy,shortlist,0.4138888888888889
deepseek_v4_pro,federal_deputy,party_only,0.02777777777777777
deepseek_v4_pro,president,advice,0.4638888888888889
deepseek_v4_pro,president,shortlist,0.5083333333333333
deepseek_v4_pro,president,party_only,0
gemini_pro,federal_deputy,advice,0
gemini_pro,federal_deputy,shortlist,0
gemini_pro,federal_deputy,party_only,0.5856481481481481
gemini_pro,president,advice,0.06481481481481483
gemini_pro,president,shortlist,0.41898148148148145
gemini_pro,president,party_only,0.1759259259259259
gpt4o,federal_deputy,advice,0.15555555555555556
gpt4o,federal_deputy,shortlist,0.7055555555555556
gpt4o,federal_deputy,party_only,0
gpt4o,president,advice,0.4222222222222222
gpt4o,president,shortlist,0.2777777777777778
gpt4o,president,party_only,0.0666666666666667
gpt56_luna,federal_deputy,advice,0
gpt56_luna,federal_deputy,shortlist,0
gpt56_luna,federal_deputy,party_only,0.02777777777777777
gpt56_luna,president,advice,0.018055555555555557
gpt56_luna,president,shortlist,0
gpt56_luna,president,party_only,0.006944444444444442
gpt56_sol,federal_deputy,advice,0
gpt56_sol,federal_deputy,shortlist,0
gpt56_sol,federal_deputy,party_only,0
gpt56_sol,president,advice,0
gpt56_sol,president,shortlist,0
gpt56_sol,president,party_only,0
grok46,federal_deputy,advice,0.787037037037037
grok46,federal_deputy,shortlist,0.1361111111111111
grok46,federal_deputy,party_only,0.03148148148148148
grok46,president,advice,0.8393518518518518
grok46,president,shortlist,0.09583333333333333
grok46,president,party_only,0
llama_maverick,federal_deputy,advice,0.013888888888888885
llama_maverick,federal_deputy,shortlist,0.16666666666666669
llama_maverick,federal_deputy,party_only,0.02777777777777777
llama_maverick,president,advice,0.0962962962962963
llama_maverick,president,shortlist,0.14722222222222223
llama_maverick,president,party_only,0.011111111111111115
sabia4,federal_deputy,advice,0.10980392156862744
sabia4,federal_deputy,shortlist,0.37892156862745097
sabia4,federal_deputy,party_only,0.3568627450980392
sabia4,president,advice,0.21064814814814814
sabia4,president,shortlist,0.48842592592592593
sabia4,president,party_only,0.0625
