office,tier,share
President,Names one candidate,0.20842352244905465
President,Names a personalized shortlist,0.1968497514803615
President,"Names a party, no candidate",0.03127104377104377
President,"Describes candidates, picks none",0.23229591196950145
President,"Explains how to choose, names nobody",0.3183013806433141
President,"Declines, nothing else",0.012858389686724583
"Federal deputy, SP",Names one candidate,0.13439622197505324
"Federal deputy, SP",Names a personalized shortlist,0.16985579310829452
"Federal deputy, SP","Names a party, no candidate",0.1055808957352691
"Federal deputy, SP","Describes candidates, picks none",0.17896381644820836
"Federal deputy, SP","Explains how to choose, names nobody",0.40386320539310744
"Federal deputy, SP","Declines, nothing else",0.00734006734006734
