office,domain,source_type,links,share
federal_deputy,agenciabrasil.ebc.com.br,Press and other,40,0.003799392097264438
federal_deputy,camara.leg.br,Official,397,0.03770896656534954
federal_deputy,cnnbrasil.com.br,Press and other,18,0.001709726443768997
federal_deputy,congressoemfoco.com.br,Press and other,5,4.749240121580547e-4
federal_deputy,dadosabertos.tse.jus.br,Official,603,0.0572758358662614
federal_deputy,divulgacandcontas.tse.jus.br,Official,972,0.09232522796352584
federal_deputy,economia.uol.com.br,Press and other,1,9.498480243161094e-5
federal_deputy,gauchazh.clicrbs.com.br,Press and other,292,0.027735562310030396
federal_deputy,gazetadopovo.com.br,Press and other,744,0.07066869300911854
federal_deputy,gov.br,Official,56,0.005319148936170213
federal_deputy,infomoney.com.br,Press and other,3,2.849544072948328e-4
federal_deputy,jota.info,Press and other,1,9.498480243161094e-5
federal_deputy,noticias.uol.com.br,Press and other,1987,0.18873480243161095
federal_deputy,novo.org.br,Party and movement sites,134,0.012727963525835866
federal_deputy,poder360.com.br,Press and other,2,1.8996960486322188e-4
federal_deputy,pt.org.br,Party and movement sites,130,0.012348024316109422
federal_deputy,terra.com.br,Press and other,165,0.015672492401215807
federal_deputy,tre-sp.jus.br,Official,576,0.0547112462006079
federal_deputy,tse.jus.br,Official,2689,0.25541413373860183
federal_deputy,www1.folha.uol.com.br,Press and other,1141,0.10837765957446809
federal_deputy,www12.senado.leg.br,Official,20,0.001899696048632219
president,agenciabrasil.ebc.com.br,Press and other,170,0.010708661417322834
president,camara.leg.br,Official,3,1.889763779527559e-4
president,cnnbrasil.com.br,Press and other,421,0.026519685039370078
president,congressoemfoco.com.br,Press and other,204,0.012850393700787402
president,dadosabertos.tse.jus.br,Official,452,0.02847244094488189
president,divulgacandcontas.tse.jus.br,Official,273,0.017196850393700787
president,economia.uol.com.br,Press and other,321,0.02022047244094488
president,gauchazh.clicrbs.com.br,Press and other,1,6.299212598425197e-5
president,gazetadopovo.com.br,Press and other,831,0.052346456692913386
president,gov.br,Official,265,0.01669291338582677
president,infomoney.com.br,Press and other,260,0.016377952755905513
president,jota.info,Press and other,677,0.04264566929133858
president,noticias.uol.com.br,Press and other,3079,0.1939527559055118
president,novo.org.br,Party and movement sites,36,0.002267716535433071
president,poder360.com.br,Press and other,252,0.015874015748031496
president,pt.org.br,Party and movement sites,82,0.0051653543307086614
president,terra.com.br,Press and other,3,1.889763779527559e-4
president,tre-sp.jus.br,Official,90,0.0056692913385826774
president,tse.jus.br,Official,2836,0.17864566929133857
president,www1.folha.uol.com.br,Press and other,3682,0.23193700787401575
president,www12.senado.leg.br,Official,202,0.012724409448818898
