office,text,n,share
federal_deputy,tse eleicoes 2026 calendario registro candidaturas deputado federal sao paulo,134,0.031828978622327794
federal_deputy,eleicoes 2026 deputado federal sao paulo candidatos propostas bolsa familia emprego custo de vida,90,0.021377672209026127
federal_deputy,tse eleicoes 2026 deputado federal sao paulo calendario candidaturas,80,0.019002375296912115
federal_deputy,eleicoes 2026 deputado federal sao paulo candidatos privatizacao liberal estado economia,75,0.017814726840855107
federal_deputy,tse eleicoes 2026 deputado federal sao paulo candidaturas calendario,70,0.0166270783847981
federal_deputy,tse eleicoes 2026 deputado federal sao paulo candidatos registro candidaturas,66,0.015676959619952493
federal_deputy,eleicoes 2026 deputado federal sao paulo pt candidatos 2026,62,0.014726840855106888
federal_deputy,tse eleicoes 2026 deputado federal sao paulo candidatos calendario registro candidaturas,52,0.012351543942992874
federal_deputy,tse eleicoes 2026 deputado federal sao paulo candidatos calendario,51,0.012114014251781473
federal_deputy,tse eleicoes 2026 deputado federal sao paulo candidatos registro candidatura 2026,48,0.01140142517814727
federal_deputy,eleicoes 2026 deputado federal sao paulo candidatos pt 2026,47,0.011163895486935867
federal_deputy,site:tse.jus.br eleicoes 2026 calendario registro candidaturas deputado federal sao paulo,43,0.010213776722090262
federal_deputy,site:tse.jus.br eleicoes 2026 deputado federal sao paulo calendario candidaturas,42,0.009976247030878859
federal_deputy,tse eleicoes 2026 calendario candidaturas deputado federal sao paulo,42,0.009976247030878859
federal_deputy,tse eleicoes 2026 calendario candidatos deputado federal sao paulo,41,0.009738717339667458
president,tse eleicoes 2026 presidente candidatos calendario registro candidaturas,90,0.020852641334569044
president,eleicoes presidenciais brasil 2026 candidatos registrados tse agosto 2026,86,0.019925857275254866
president,tse eleicoes 2026 calendario registro candidaturas presidente,76,0.017608897126969416
president,tse eleicoes 2026 presidente candidatos calendario,67,0.01552363299351251
president,tse eleicoes 2026 calendario registro candidaturas presidente brasil,62,0.014365152919369786
president,eleicoes presidenciais 2026 brasil candidatos registrados tse agosto 2026,60,0.013901760889712697
president,eleicoes 2026 presidente brasil candidatos registrados tse agosto 2026,51,0.011816496756255792
president,tse eleicoes 2026 candidatos presidente calendario registro candidaturas,46,0.010658016682113068
president,tse eleicoes 2026 calendario registro candidaturas presidente 2026,42,0.009731232622798888
president,eleicoes presidenciais brasil 2026 candidatos propostas impostos trabalho autonomo privatizacoes,32,0.0074142724745134385
president,eleicoes presidenciais 2026 brasil candidatos propostas impostos trabalho autonomo privatizacoes,26,0.006024096385542169
president,site:tse.jus.br eleicoes 2026 calendario registro candidaturas presidente,22,0.005097312326227989
president,eleicoes 2026 brasil candidatos presidente propostas bolsa familia emprego custo de vida,21,0.004865616311399444
president,eleicoes presidenciais 2026 brasil candidatos propostas bolsa familia emprego custo de vida,20,0.004633920296570899
president,eleicoes 2026 presidente brasil candidatos registrados tse 2026,19,0.004402224281742354
