side,name,n,answers,share,label,poll
Left profiles,augusto cury,823,3454,0.23827446438911407,Augusto Cury (Avante),0.02
Left profiles,clariana barao,185,3454,0.05356108859293573,Clariana Barao (DC),0
Left profiles,edmilson costa,657,3454,0.19021424435437173,Edmilson Costa (PCB),0
Left profiles,flavio bolsonaro,3127,3454,0.9053271569195136,Flavio Bolsonaro (PL),0.31
Left profiles,hertz dias,728,3454,0.21077012159814706,Hertz Dias (PSTU),0
Left profiles,leonardo avalanche,17,3454,0.004921829762594094,Leonardo Avalanche (PRTB),0
Left profiles,luiz inacio lula da silva,3388,3454,0.9808917197452229,Lula (PT),0.38
Left profiles,renan santos,1305,3454,0.3778228141285466,Renan Santos (Missao),0.04
Left profiles,romeu zema,2530,3454,0.732484076433121,Romeu Zema (Novo),0.02
Left profiles,ronaldo caiado,2055,3454,0.594962362478286,Ronaldo Caiado (PSD),0.04
Left profiles,rui costa pimenta,411,3454,0.11899247249565721,Rui Costa Pimenta (PCO),0
Left profiles,samara martins,737,3454,0.21337579617834396,Samara Martins (UP),0.01
Left profiles,wilson grassi,201,3454,0.058193398957730166,Wilson Grassi (Democrata),0
Centre profiles,augusto cury,600,2165,0.27713625866050806,Augusto Cury (Avante),0.02
Centre profiles,clariana barao,166,2165,0.0766743648960739,Clariana Barao (DC),0
Centre profiles,edmilson costa,61,2165,0.02817551963048499,Edmilson Costa (PCB),0
Centre profiles,flavio bolsonaro,2072,2165,0.9570438799076213,Flavio Bolsonaro (PL),0.31
Centre profiles,hertz dias,80,2165,0.03695150115473441,Hertz Dias (PSTU),0
Centre profiles,leonardo avalanche,7,2165,0.003233256351039261,Leonardo Avalanche (PRTB),0
Centre profiles,luiz inacio lula da silva,1944,2165,0.8979214780600462,Lula (PT),0.38
Centre profiles,renan santos,1273,2165,0.5879907621247114,Renan Santos (Missao),0.04
Centre profiles,romeu zema,1920,2165,0.8868360277136259,Romeu Zema (Novo),0.02
Centre profiles,ronaldo caiado,1585,2165,0.7321016166281755,Ronaldo Caiado (PSD),0.04
Centre profiles,rui costa pimenta,50,2165,0.023094688221709007,Rui Costa Pimenta (PCO),0
Centre profiles,samara martins,90,2165,0.04157043879907621,Samara Martins (UP),0.01
Centre profiles,wilson grassi,157,2165,0.07251732101616629,Wilson Grassi (Democrata),0
Right profiles,augusto cury,447,3165,0.14123222748815165,Augusto Cury (Avante),0.02
Right profiles,clariana barao,48,3165,0.015165876777251185,Clariana Barao (DC),0
Right profiles,edmilson costa,60,3165,0.018957345971563982,Edmilson Costa (PCB),0
Right profiles,flavio bolsonaro,3123,3165,0.9867298578199052,Flavio Bolsonaro (PL),0.31
Right profiles,hertz dias,86,3165,0.027172195892575038,Hertz Dias (PSTU),0
Right profiles,leonardo avalanche,17,3165,0.005371248025276461,Leonardo Avalanche (PRTB),0
Right profiles,luiz inacio lula da silva,2356,3165,0.744391785150079,Lula (PT),0.38
Right profiles,renan santos,2032,3165,0.6420221169036335,Renan Santos (Missao),0.04
Right profiles,romeu zema,2891,3165,0.9134281200631912,Romeu Zema (Novo),0.02
Right profiles,ronaldo caiado,2866,3165,0.9055292259083728,Ronaldo Caiado (PSD),0.04
Right profiles,rui costa pimenta,36,3165,0.011374407582938388,Rui Costa Pimenta (PCO),0
Right profiles,samara martins,83,3165,0.02622432859399684,Samara Martins (UP),0.01
Right profiles,wilson grassi,67,3165,0.021169036334913113,Wilson Grassi (Democrata),0
