model_key,answers,mean_covered,all_13,at_least_5,top_2_only
chatgpt_web,11370,4.5753737906772205,2.638522427440633e-4,0.5023746701846966,0.17871591908531223
claude_opus5,285,9.017543859649123,0.0912280701754386,0.9578947368421052,0.0035087719298245615
claude_sonnet5,39,4.9743589743589745,0,0.46153846153846156,0.10256410256410256
deepseek_v4_pro,83,8.337349397590362,0.1566265060240964,0.7951807228915663,0.060240963855421686
gemini_pro,24,3.2083333333333335,0.041666666666666664,0.125,0.6666666666666666
gpt4o,21,5.809523809523809,0,0.42857142857142855,0.19047619047619047
gpt56_sol,1,6,0,1,0
grok46,109,5.715596330275229,0,0.8990825688073395,0.01834862385321101
llama_maverick,35,7.942857142857143,0.02857142857142857,0.6571428571428571,0.02857142857142857
sabia4,86,1.802325581395349,0,0.03488372093023256,0.872093023255814
