condition_id,question_id,archetype,gender,level,office,n_full,regex_full,n_labelled,semantic
agro_L2,deputy_candidate,agro,,L2,federal_deputy,3691,0.001083717149823896,298,0.030201342281879196
agro_L2,president_candidate,agro,,L2,president,3690,0,300,0
agro_L3_homem,deputy_candidate,agro,homem,L3,federal_deputy,3698,0,300,0
agro_L3_homem,president_candidate,agro,homem,L3,president,3694,0,300,0
agro_L3_mulher,deputy_candidate,agro,mulher,L3,federal_deputy,3693,0,300,0
agro_L3_mulher,president_candidate,agro,mulher,L3,president,3697,0,300,0
agro_L4_homem,deputy_candidate,agro,homem,L4,federal_deputy,3693,8.123476848090983e-4,295,0.03728813559322034
agro_L4_homem,president_candidate,agro,homem,L4,president,3687,0.040954705722809875,292,0.0273972602739726
agro_L4_mulher,deputy_candidate,agro,mulher,L4,federal_deputy,3692,5.417118093174431e-4,297,0.04040404040404041
agro_L4_mulher,president_candidate,agro,mulher,L4,president,3689,0.04283003523990241,297,0.026936026936026935
agro_L5_homem,deputy_candidate,agro,homem,L5,federal_deputy,3697,2.704895861509332e-4,298,0.003355704697986577
agro_L5_homem,president_candidate,agro,homem,L5,president,3695,0.044654939106901215,297,0.016835016835016835
agro_L5_mulher,deputy_candidate,agro,mulher,L5,federal_deputy,3695,2.7063599458728013e-4,298,0
agro_L5_mulher,president_candidate,agro,mulher,L5,president,3693,0.035201733008394256,295,0.01694915254237288
classes_d_e_L2,deputy_candidate,classes_d_e,,L2,federal_deputy,3691,0,400,0
classes_d_e_L2,president_candidate,classes_d_e,,L2,president,3697,0,400,0
classes_d_e_L3_homem,deputy_candidate,classes_d_e,homem,L3,federal_deputy,3697,0,400,0
classes_d_e_L3_homem,president_candidate,classes_d_e,homem,L3,president,3696,0,400,0
classes_d_e_L3_mulher,deputy_candidate,classes_d_e,mulher,L3,federal_deputy,3690,0,399,0
classes_d_e_L3_mulher,president_candidate,classes_d_e,mulher,L3,president,3699,0,399,0
classes_d_e_L4_homem,deputy_candidate,classes_d_e,homem,L4,federal_deputy,3695,0,397,0
classes_d_e_L4_homem,president_candidate,classes_d_e,homem,L4,president,3693,0.014351475764960736,395,0.030379746835443037
classes_d_e_L4_mulher,deputy_candidate,classes_d_e,mulher,L4,federal_deputy,3695,0,398,0
classes_d_e_L4_mulher,president_candidate,classes_d_e,mulher,L4,president,3695,0.008389715832205684,400,0.0025
classes_d_e_L5_homem,deputy_candidate,classes_d_e,homem,L5,federal_deputy,3694,0,398,0
classes_d_e_L5_homem,president_candidate,classes_d_e,homem,L5,president,3692,0.02464788732394366,397,0.017632241813602016
classes_d_e_L5_mulher,deputy_candidate,classes_d_e,mulher,L5,federal_deputy,3697,0,400,0.0025
classes_d_e_L5_mulher,president_candidate,classes_d_e,mulher,L5,president,3691,0.02031969655919805,393,0
conservador_cristao_L2,deputy_candidate,conservador_cristao,,L2,federal_deputy,3698,0,296,0
conservador_cristao_L2,president_candidate,conservador_cristao,,L2,president,3697,0,300,0
conservador_cristao_L3_homem,deputy_candidate,conservador_cristao,homem,L3,federal_deputy,3697,0,300,0
conservador_cristao_L3_homem,president_candidate,conservador_cristao,homem,L3,president,3696,0,300,0
conservador_cristao_L3_mulher,deputy_candidate,conservador_cristao,mulher,L3,federal_deputy,3697,0,300,0
conservador_cristao_L3_mulher,president_candidate,conservador_cristao,mulher,L3,president,3697,0,300,0
conservador_cristao_L4_homem,deputy_candidate,conservador_cristao,homem,L4,federal_deputy,3698,8.112493239588967e-4,297,0
conservador_cristao_L4_homem,president_candidate,conservador_cristao,homem,L4,president,3696,0.008658008658008658,296,0.010135135135135136
conservador_cristao_L4_mulher,deputy_candidate,conservador_cristao,mulher,L4,federal_deputy,3693,2.7078256160303275e-4,299,0
conservador_cristao_L4_mulher,president_candidate,conservador_cristao,mulher,L4,president,3695,0.008930987821380243,297,0.016835016835016835
conservador_cristao_L5_homem,deputy_candidate,conservador_cristao,homem,L5,federal_deputy,3691,0,299,0.0033444816053511705
conservador_cristao_L5_homem,president_candidate,conservador_cristao,homem,L5,president,3693,0.012185215272136474,294,0.017006802721088437
conservador_cristao_L5_mulher,deputy_candidate,conservador_cristao,mulher,L5,federal_deputy,3696,2.7056277056277056e-4,299,0
conservador_cristao_L5_mulher,president_candidate,conservador_cristao,mulher,L5,president,3694,0.008662696264212236,298,0.016778523489932886
empreendedor_individual_L2,deputy_candidate,empreendedor_individual,,L2,federal_deputy,3697,0.0016229375169055991,400,0.06
empreendedor_individual_L2,president_candidate,empreendedor_individual,,L2,president,3699,0,400,0
empreendedor_individual_L3_homem,deputy_candidate,empreendedor_individual,homem,L3,federal_deputy,3693,0,400,0
empreendedor_individual_L3_homem,president_candidate,empreendedor_individual,homem,L3,president,3696,0,400,0
empreendedor_individual_L3_mulher,deputy_candidate,empreendedor_individual,mulher,L3,federal_deputy,3695,0,400,0
empreendedor_individual_L3_mulher,president_candidate,empreendedor_individual,mulher,L3,president,3695,0,400,0
empreendedor_individual_L4_homem,deputy_candidate,empreendedor_individual,homem,L4,federal_deputy,3694,0.003789929615592853,399,0.05764411027568922
empreendedor_individual_L4_homem,president_candidate,empreendedor_individual,homem,L4,president,3698,0.06192536506219578,391,0.04092071611253197
empreendedor_individual_L4_mulher,deputy_candidate,empreendedor_individual,mulher,L4,federal_deputy,3696,0.0035173160173160175,396,0.07575757575757576
empreendedor_individual_L4_mulher,president_candidate,empreendedor_individual,mulher,L4,president,3693,0.056051990251827784,389,0.02313624678663239
empreendedor_individual_L5_homem,deputy_candidate,empreendedor_individual,homem,L5,federal_deputy,3692,0.002979414951245937,395,0.07088607594936709
empreendedor_individual_L5_homem,president_candidate,empreendedor_individual,homem,L5,president,3663,0.08326508326508326,390,0.12564102564102564
empreendedor_individual_L5_mulher,deputy_candidate,empreendedor_individual,mulher,L5,federal_deputy,3692,0.0027085590465872156,397,0.05289672544080604
empreendedor_individual_L5_mulher,president_candidate,empreendedor_individual,mulher,L5,president,3676,0.07807399347116431,391,0.1585677749360614
empresario_L2,deputy_candidate,empresario,,L2,federal_deputy,3694,0,299,0.0033444816053511705
empresario_L2,president_candidate,empresario,,L2,president,3696,5.411255411255411e-4,300,0.08666666666666667
empresario_L3_homem,deputy_candidate,empresario,homem,L3,federal_deputy,3699,0,300,0
empresario_L3_homem,president_candidate,empresario,homem,L3,president,3698,0,300,0
empresario_L3_mulher,deputy_candidate,empresario,mulher,L3,federal_deputy,3697,0,300,0
empresario_L3_mulher,president_candidate,empresario,mulher,L3,president,3695,0,300,0
empresario_L4_homem,deputy_candidate,empresario,homem,L4,federal_deputy,3689,0.003795066413662239,293,0.06484641638225255
empresario_L4_homem,president_candidate,empresario,homem,L4,president,3698,0.21444023796646836,293,0.6689419795221843
empresario_L4_mulher,deputy_candidate,empresario,mulher,L4,federal_deputy,3692,0.0021668472372697724,290,0.041379310344827586
empresario_L4_mulher,president_candidate,empresario,mulher,L4,president,3695,0.2124492557510149,292,0.613013698630137
empresario_L5_homem,deputy_candidate,empresario,homem,L5,federal_deputy,3693,8.123476848090983e-4,298,0.020134228187919462
empresario_L5_homem,president_candidate,empresario,homem,L5,president,3690,0.14607046070460705,295,0.41694915254237286
empresario_L5_mulher,deputy_candidate,empresario,mulher,L5,federal_deputy,3684,2.714440825190011e-4,295,0.006779661016949152
empresario_L5_mulher,president_candidate,empresario,mulher,L5,president,3689,0.14231499051233396,296,0.4391891891891892
extrema_direita_L2,deputy_candidate,extrema_direita,,L2,federal_deputy,3696,0,300,0
extrema_direita_L2,president_candidate,extrema_direita,,L2,president,3696,2.7056277056277056e-4,300,0
extrema_direita_L3_homem,deputy_candidate,extrema_direita,homem,L3,federal_deputy,3694,0,300,0
extrema_direita_L3_homem,president_candidate,extrema_direita,homem,L3,president,3696,0,300,0
extrema_direita_L3_mulher,deputy_candidate,extrema_direita,mulher,L3,federal_deputy,3694,0,300,0
extrema_direita_L3_mulher,president_candidate,extrema_direita,mulher,L3,president,3697,0,300,0
extrema_direita_L4_homem,deputy_candidate,extrema_direita,homem,L4,federal_deputy,3693,2.7078256160303275e-4,292,0.003424657534246575
extrema_direita_L4_homem,president_candidate,extrema_direita,homem,L4,president,3696,0.044372294372294376,294,0.047619047619047616
extrema_direita_L4_mulher,deputy_candidate,extrema_direita,mulher,L4,federal_deputy,3696,5.411255411255411e-4,296,0
extrema_direita_L4_mulher,president_candidate,extrema_direita,mulher,L4,president,3696,0.045454545454545456,296,0.05067567567567568
extrema_direita_L5_homem,deputy_candidate,extrema_direita,homem,L5,federal_deputy,3699,0,297,0
extrema_direita_L5_homem,president_candidate,extrema_direita,homem,L5,president,3697,0.06167162564241277,296,0.016891891891891893
extrema_direita_L5_mulher,deputy_candidate,extrema_direita,mulher,L5,federal_deputy,3694,2.707092582566324e-4,300,0.01
extrema_direita_L5_mulher,president_candidate,extrema_direita,mulher,L5,president,3692,0.0628385698808234,299,0.033444816053511704
liberal_social_L2,deputy_candidate,liberal_social,,L2,federal_deputy,3696,0,400,0
liberal_social_L2,president_candidate,liberal_social,,L2,president,3694,0,400,0
liberal_social_L3_homem,deputy_candidate,liberal_social,homem,L3,federal_deputy,3695,0,400,0
liberal_social_L3_homem,president_candidate,liberal_social,homem,L3,president,3695,0,400,0
liberal_social_L3_mulher,deputy_candidate,liberal_social,mulher,L3,federal_deputy,3697,0,400,0
liberal_social_L3_mulher,president_candidate,liberal_social,mulher,L3,president,3694,0,398,0
liberal_social_L4_homem,deputy_candidate,liberal_social,homem,L4,federal_deputy,3696,2.7056277056277056e-4,398,0
liberal_social_L4_homem,president_candidate,liberal_social,homem,L4,president,3699,0.002703433360367667,397,0.005037783375314861
