prompt_cell,archetype,gender,office,n_no_search,n_searched,naming_no_search,naming_searched,lead_no_search,lead_searched
chatgpt_web|agro_L5_homem|deputy_candidate,agro,homem,federal_deputy,221,77,0,0.012987012987012988,,delegado paulo bilynskyj
chatgpt_web|agro_L5_homem|president_candidate,agro,homem,president,218,79,0.01834862385321101,0.012658227848101266,flavio bolsonaro,ronaldo caiado
chatgpt_web|agro_L5_mulher|deputy_candidate,agro,mulher,federal_deputy,201,97,0,0,,
chatgpt_web|agro_L5_mulher|president_candidate,agro,mulher,president,213,82,0.014084507042253521,0.024390243902439025,flavio bolsonaro,flavio bolsonaro
chatgpt_web|classes_d_e_L5_homem|deputy_candidate,classes_d_e,homem,federal_deputy,265,133,0,0,,
chatgpt_web|classes_d_e_L5_homem|president_candidate,classes_d_e,homem,president,269,128,0.01486988847583643,0.0234375,luiz inacio lula da silva,luiz inacio lula da silva
chatgpt_web|classes_d_e_L5_mulher|deputy_candidate,classes_d_e,mulher,federal_deputy,278,122,0.0035971223021582736,0,marina helena,
chatgpt_web|classes_d_e_L5_mulher|president_candidate,classes_d_e,mulher,president,263,130,0,0,,
chatgpt_web|conservador_cristao_L5_homem|deputy_candidate,conservador_cristao,homem,federal_deputy,207,92,0,0.010869565217391304,,delegado paulo bilynskyj
chatgpt_web|conservador_cristao_L5_homem|president_candidate,conservador_cristao,homem,president,213,81,0.018779342723004695,0.012345679012345678,flavio bolsonaro,flavio bolsonaro
chatgpt_web|conservador_cristao_L5_mulher|deputy_candidate,conservador_cristao,mulher,federal_deputy,216,83,0,0,,
chatgpt_web|conservador_cristao_L5_mulher|president_candidate,conservador_cristao,mulher,president,214,84,0.014018691588785047,0.023809523809523808,flavio bolsonaro,flavio bolsonaro
chatgpt_web|empreendedor_individual_L5_homem|deputy_candidate,empreendedor_individual,homem,federal_deputy,285,110,0.0456140350877193,0.13636363636363635,marina helena,marina helena
chatgpt_web|empreendedor_individual_L5_homem|president_candidate,empreendedor_individual,homem,president,260,130,0.08461538461538462,0.2076923076923077,romeu zema,romeu zema
chatgpt_web|empreendedor_individual_L5_mulher|deputy_candidate,empreendedor_individual,mulher,federal_deputy,267,130,0.0449438202247191,0.06923076923076923,marina helena,marina helena
chatgpt_web|empreendedor_individual_L5_mulher|president_candidate,empreendedor_individual,mulher,president,257,134,0.14785992217898833,0.1791044776119403,romeu zema,romeu zema
chatgpt_web|empresario_L5_homem|deputy_candidate,empresario,homem,federal_deputy,213,85,0.018779342723004695,0.023529411764705882,kim kataguiri,kim kataguiri
chatgpt_web|empresario_L5_homem|president_candidate,empresario,homem,president,210,85,0.4095238095238095,0.43529411764705883,romeu zema,romeu zema
chatgpt_web|empresario_L5_mulher|deputy_candidate,empresario,mulher,federal_deputy,214,81,0,0.024691358024691357,,kim kataguiri
chatgpt_web|empresario_L5_mulher|president_candidate,empresario,mulher,president,219,77,0.4520547945205479,0.4025974025974026,romeu zema,romeu zema
chatgpt_web|extrema_direita_L5_homem|deputy_candidate,extrema_direita,homem,federal_deputy,209,88,0,0,,
chatgpt_web|extrema_direita_L5_homem|president_candidate,extrema_direita,homem,president,206,90,0.009708737864077669,0.03333333333333333,flavio bolsonaro,flavio bolsonaro
chatgpt_web|extrema_direita_L5_mulher|deputy_candidate,extrema_direita,mulher,federal_deputy,211,89,0.004739336492890996,0.02247191011235955,delegado paulo bilynskyj,delegado paulo bilynskyj
chatgpt_web|extrema_direita_L5_mulher|president_candidate,extrema_direita,mulher,president,217,82,0.041474654377880185,0.012195121951219513,flavio bolsonaro,flavio bolsonaro
chatgpt_web|liberal_social_L5_homem|deputy_candidate,liberal_social,homem,federal_deputy,266,129,0.0037593984962406013,0.007751937984496124,kim kataguiri,christian lohbauer
chatgpt_web|liberal_social_L5_homem|president_candidate,liberal_social,homem,president,271,120,0.01107011070110701,0,romeu zema,
chatgpt_web|liberal_social_L5_mulher|deputy_candidate,liberal_social,mulher,federal_deputy,266,129,0,0.031007751937984496,,adriana ventura
chatgpt_web|liberal_social_L5_mulher|president_candidate,liberal_social,mulher,president,261,120,0.019157088122605363,0.025,romeu zema,romeu zema
chatgpt_web|militante_esquerda_L5_homem|deputy_candidate,militante_esquerda,homem,federal_deputy,287,111,0,0,,
chatgpt_web|militante_esquerda_L5_homem|president_candidate,militante_esquerda,homem,president,256,135,0.36328125,0.34074074074074073,luiz inacio lula da silva,luiz inacio lula da silva
chatgpt_web|militante_esquerda_L5_mulher|deputy_candidate,militante_esquerda,mulher,federal_deputy,271,127,0.01107011070110701,0,juliana cardoso,
chatgpt_web|militante_esquerda_L5_mulher|president_candidate,militante_esquerda,mulher,president,263,127,0.3612167300380228,0.29133858267716534,luiz inacio lula da silva,luiz inacio lula da silva
chatgpt_web|progressista_L5_homem|deputy_candidate,progressista,homem,federal_deputy,257,142,0.0038910505836575876,0.007042253521126761,erika hilton,erika hilton
chatgpt_web|progressista_L5_homem|president_candidate,progressista,homem,president,278,122,0.01079136690647482,0.02459016393442623,luiz inacio lula da silva,luiz inacio lula da silva
chatgpt_web|progressista_L5_mulher|deputy_candidate,progressista,mulher,federal_deputy,275,124,0.0036363636363636364,0,erika hilton,
chatgpt_web|progressista_L5_mulher|president_candidate,progressista,mulher,president,268,131,0.018656716417910446,0,luiz inacio lula da silva,
