side,search,people,answers,share,n
Centre profiles,With a search,romeu zema,54,1,54
Centre profiles,Without a search,eduardo leite,2,0.029411764705882353,68
Centre profiles,Without a search,flavio bolsonaro,2,0.029411764705882353,68
Centre profiles,Without a search,romeu zema,63,0.9264705882352942,68
Centre profiles,Without a search,ronaldo caiado,1,0.014705882352941176,68
Left profiles,With a search,luiz inacio lula da silva,89,1,89
Left profiles,Without a search,luiz inacio lula da silva,200,1,200
Right profiles,With a search,flavio bolsonaro,10,0.1282051282051282,78
Right profiles,With a search,romeu zema,67,0.8589743589743589,78
Right profiles,With a search,ronaldo caiado,1,0.01282051282051282,78
Right profiles,Without a search,flavio bolsonaro,25,0.11904761904761904,210
Right profiles,Without a search,romeu zema,185,0.8809523809523809,210
