side,source_type,links,share
Centre profiles,Official,2130,0.3209281301792979
Centre profiles,Other,379,0.05710411330420371
Centre profiles,Party and movement sites,114,0.017176435136356787
Centre profiles,Press and news,3980,0.599668524935965
Centre profiles,Social media,10,0.0015067048365225253
Centre profiles,Wikipedia,24,0.0036160916076540604
Left profiles,Official,3657,0.37736043751934784
Left profiles,Other,688,0.0709937054999484
Left profiles,Party and movement sites,326,0.033639459292126715
Left profiles,Press and news,4995,0.5154266845526777
Left profiles,Social media,13,0.0013414508306676298
Left profiles,Wikipedia,12,0.0012382623052316583
Right profiles,Official,3522,0.34957816377171214
Right profiles,Other,592,0.058759305210918114
Right profiles,Party and movement sites,122,0.012109181141439206
Right profiles,Press and news,5776,0.5733002481389579
Right profiles,Social media,35,0.0034739454094292804
Right profiles,Wikipedia,28,0.0027791563275434243
