side,domain,n,share
Centre profiles,www1.folha.uol.com.br,1547,0.23308723821003466
Centre profiles,noticias.uol.com.br,1363,0.2053638692180202
Centre profiles,tse.jus.br,1195,0.18005122796444176
Centre profiles,divulgacandcontas.tse.jus.br,264,0.03977700768419467
Centre profiles,dadosabertos.tse.jus.br,259,0.039023655265933405
Centre profiles,gazetadopovo.com.br,172,0.025915323188187435
Centre profiles,tre-sp.jus.br,169,0.025463311737230678
Centre profiles,jota.info,156,0.023504595449751392
Centre profiles,camara.leg.br,127,0.01913515142383607
Centre profiles,cnnbrasil.com.br,88,0.013259002561398222
Centre profiles,congressoemfoco.com.br,88,0.013259002561398222
Centre profiles,sbtnews.sbt.com.br,88,0.013259002561398222
Left profiles,tse.jus.br,2281,0.23537302651945105
Left profiles,www1.folha.uol.com.br,1961,0.20235269837994016
Left profiles,noticias.uol.com.br,1920,0.19812196883706532
Left profiles,divulgacandcontas.tse.jus.br,420,0.04333918068310804
Left profiles,dadosabertos.tse.jus.br,374,0.03859250851305335
Left profiles,gazetadopovo.com.br,321,0.03312351666494686
Left profiles,gov.br,312,0.03219481993602311
Left profiles,tre-sp.jus.br,236,0.02435249200288928
Left profiles,pt.org.br,212,0.021875967392425963
Left profiles,jota.info,193,0.019915385409142502
Left profiles,camara.leg.br,145,0.01496233618821587
Left profiles,agenciabrasil.ebc.com.br,123,0.012692188628624496
Right profiles,tse.jus.br,2049,0.20337468982630272
Right profiles,noticias.uol.com.br,1783,0.1769727047146402
Right profiles,www1.folha.uol.com.br,1315,0.13052109181141439
Right profiles,gazetadopovo.com.br,1082,0.10739454094292804
Right profiles,divulgacandcontas.tse.jus.br,561,0.05568238213399504
Right profiles,dadosabertos.tse.jus.br,422,0.04188585607940447
Right profiles,jota.info,329,0.03265508684863524
Right profiles,cnnbrasil.com.br,269,0.026699751861042183
Right profiles,tre-sp.jus.br,261,0.025905707196029776
Right profiles,economia.uol.com.br,191,0.018957816377171217
Right profiles,camara.leg.br,128,0.012704714640198511
Right profiles,infomoney.com.br,126,0.01250620347394541
