archetype,office,query,n,share
agro,federal_deputy,eleições 2026 deputado federal São Paulo candidatos agronegócio Bolsonaro conservador,354,0.0570691600838304
agro,federal_deputy,eleições 2026 deputado federal São Paulo candidatos agronegócio Bolsonaro armas ambiental terras indígenas,332,0.05352248911816863
agro,federal_deputy,eleições 2026 deputado federal São Paulo candidatos agronegócio Bolsonaro conservador armas ambiental terras indígenas,256,0.0412703530549734
agro,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,205,0.033048524907302916
agro,federal_deputy,candidatos deputado federal São Paulo 2026 agronegócio Bolsonaro,188,0.03030791552474609
agro,president,TSE eleições 2026 presidente candidatos calendário registro candidaturas,140,0.02234993614303959
agro,president,eleições presidenciais 2026 Brasil candidatos agronegócio Bolsonaro TSE,109,0.017401021711366538
agro,president,TSE eleições 2026 calendário registro candidaturas presidente Brasil,81,0.01293103448275862
agro,president,TSE eleições 2026 calendário registro candidaturas presidente,73,0.01165389527458493
agro,president,eleições presidenciais Brasil 2026 candidatos agronegócio Bolsonaro TSE,53,0.008461047254150703
classes_d_e,federal_deputy,eleições 2026 deputado federal São Paulo candidatos propostas Bolsa Família emprego custo de vida,1365,0.20219226781217597
classes_d_e,federal_deputy,eleições 2026 deputado federal São Paulo candidatos propostas emprego Bolsa Família custo de vida,314,0.046511627906976744
classes_d_e,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidatos calendário,273,0.040438453562435195
classes_d_e,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,243,0.03599466745667308
classes_d_e,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidatos calendário registro candidaturas,217,0.03214338616501259
classes_d_e,president,eleições presidenciais 2026 Brasil candidatos propostas Bolsa Família emprego custo de vida,338,0.0460239651416122
classes_d_e,president,eleições 2026 Brasil candidatos presidente propostas Bolsa Família emprego custo de vida,333,0.04534313725490196
classes_d_e,president,TSE eleições 2026 presidente candidatos calendário registro candidaturas,257,0.034994553376906316
classes_d_e,president,eleições presidenciais Brasil 2026 candidatos propostas Bolsa Família emprego custo de vida,191,0.026007625272331154
classes_d_e,president,TSE eleições 2026 candidatos presidente calendário registro candidaturas,182,0.024782135076252723
conservador_cristao,federal_deputy,eleições 2026 deputado federal São Paulo candidatos conservadores segurança pública valores cristãos maconha,375,0.05648441030275644
conservador_cristao,federal_deputy,eleições 2026 deputado federal São Paulo candidatos conservadores segurança pública maconha,347,0.05226690766681729
conservador_cristao,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,310,0.04669377918361199
conservador_cristao,federal_deputy,eleições 2026 deputado federal São Paulo candidatos conservadores segurança pública família cristãos maconha,290,0.043681277300798314
conservador_cristao,federal_deputy,eleições 2026 deputado federal São Paulo candidatos conservadores segurança pública maconha valores cristãos,230,0.03464377165235728
conservador_cristao,president,eleições presidenciais 2026 Brasil candidatos registrados TSE agosto 2026,396,0.05956678700361011
