model_key,contrast,pairs,se,control,treated,difference
chatgpt_web,issue_added_to_biography,36,0.024552385353618252,0,0.058732125259718326,0.058732125259718326
claude_opus5,issue_added_to_biography,36,0.014810680640096439,0,0.01944444444444445,0.01944444444444445
claude_sonnet5,issue_added_to_biography,36,0.0048398059197025676,0,0.006944444444444442,0.006944444444444442
deepseek_v4_pro,issue_added_to_biography,36,0.0451938852323483,0,0.26296296296296295,0.26296296296296295
gemini_pro,issue_added_to_biography,36,0,0,0,0
gpt4o,issue_added_to_biography,36,0.03363619030241037,0,0.1388888888888889,0.1388888888888889
gpt56_luna,issue_added_to_biography,36,0,0,0,0
gpt56_sol,issue_added_to_biography,36,0.0034722222222222207,0,0.003472222222222221,0.003472222222222221
grok46,issue_added_to_biography,36,0.04895544461564196,0,0.39675925925925926,0.39675925925925926
llama_maverick,issue_added_to_biography,16,0.06798820363366967,0,0.09375,0.09375
sabia4,issue_added_to_biography,36,0.0375562767677011,0.01041666666666667,0.1712962962962963,0.16087962962962962
chatgpt_web,attitudes_added,36,0.01621771322389961,0.058732125259718326,0.06259632029258416,0.0038641950328658367
claude_opus5,attitudes_added,36,0.018259263283857158,0.01944444444444445,0.017129629629629634,-0.0023148148148148125
claude_sonnet5,attitudes_added,36,0.010836272382039965,0.006944444444444442,0.01851851851851852,0.011574074074074077
deepseek_v4_pro,attitudes_added,36,0.07106697987154037,0.26296296296296295,0.6412037037037037,0.3782407407407407
gemini_pro,attitudes_added,36,0.026652700634404603,0,0.037037037037037056,0.037037037037037056
gpt4o,attitudes_added,36,0.05452213439814885,0.1388888888888889,0.3,0.16111111111111112
gpt56_luna,attitudes_added,36,0.006466701780846136,0,0.00902777777777778,0.00902777777777778
gpt56_sol,attitudes_added,36,0.0034722222222222207,0.003472222222222221,0,-0.003472222222222221
grok46,attitudes_added,36,0.056631812148882486,0.39675925925925926,0.8766203703703703,0.4798611111111111
llama_maverick,attitudes_added,18,0.10633930073732836,0.2222222222222222,0.1712962962962963,-0.0509259259259259
sabia4,attitudes_added,35,0.05578355243159722,0.17619047619047618,0.2507142857142857,0.07452380952380952
chatgpt_web,specific_wording,128,0.0033708905948125058,0.04832453412232547,0.035673819129190903,-0.012650714993134585
claude_opus5,specific_wording,128,0.00540464938563211,0.021679687499999996,0.01712239583333335,-0.004557291666666666
claude_sonnet5,specific_wording,128,0.007278179314789726,0.012369791666666664,0.007161458333333332,-0.005208333333333332
deepseek_v4_pro,specific_wording,128,0.028520905315055523,0.13619791666666664,0.319921875,0.18372395833333335
gemini_pro,specific_wording,128,0.006679511324408699,0.012500000000000022,0.012369791666666675,-1.3020833333333515e-4
gpt4o,specific_wording,128,0.017299540865966002,0.08828125,0.14453124999999997,0.05625000000000002
gpt56_luna,specific_wording,128,0.009873224752041219,0.04498697916666666,0.0087890625,-0.03619791666666666
gpt56_sol,specific_wording,128,0.00720232195528988,0.022070312499999988,0.00390625,-0.01816406249999999
grok46,specific_wording,128,0.030223352788137498,0.21894531250000002,0.4305338541666666,0.21158854166666669
llama_maverick,specific_wording,68,0.03999081897754813,0.16176470588235298,0.10661764705882351,-0.055147058823529396
sabia4,specific_wording,127,0.02110432101851318,0.11830708661417323,0.13398950131233597,0.015682414698162735
chatgpt_web,woman,54,0.0018930994265039388,0.04160706032633551,0.03927857004186615,-0.0023284902844693525
claude_opus5,woman,54,0.007207314774518838,0.016975308641975308,0.007407407407407407,-0.009567901234567898
claude_sonnet5,woman,54,0.005600344855783668,0.010030864197530865,0.006944444444444442,-0.0030864197530864218
deepseek_v4_pro,woman,54,0.04399036387476766,0.3121913580246914,0.2905864197530864,-0.021604938271604958
gemini_pro,woman,54,0.006172839506172837,0.015432098765432103,0.009259259259259267,-0.006172839506172842
gpt4o,woman,54,0.02507333241401223,0.14814814814814817,0.14444444444444446,-0.003703703703703715
gpt56_luna,woman,54,0.004330388512429563,0.0060185185185185185,0,-0.0060185185185185185
gpt56_sol,woman,54,0.0023148148148148143,0,0.0023148148148148164,0.0023148148148148164
grok46,woman,54,0.03474866348363877,0.4679012345679012,0.3810185185185185,-0.08688271604938272
llama_maverick,woman,25,0.056519416526043885,0.23,0.11333333333333334,-0.11666666666666667
sabia4,woman,53,0.028060133689138792,0.14433962264150943,0.14465408805031446,3.1446540880503555e-4
