model_key,side,listings,candidate,label,poll,answers,share
chatgpt_web,Centre profiles,2115,luiz inacio lula da silva,Lula (PT),0.38,1875,0.8865248226950354
chatgpt_web,Centre profiles,2115,flavio bolsonaro,Flavio Bolsonaro (PL),0.31,2014,0.9522458628841608
chatgpt_web,Centre profiles,2115,renan santos,Renan Santos (Missao),0.04,1226,0.5796690307328605
chatgpt_web,Centre profiles,2115,ronaldo caiado,Ronaldo Caiado (PSD),0.04,1527,0.7219858156028369
chatgpt_web,Centre profiles,2115,romeu zema,Romeu Zema (Novo),0.02,1863,0.8808510638297873
chatgpt_web,Centre profiles,2115,augusto cury,Augusto Cury (Avante),0.02,557,0.26335697399527186
chatgpt_web,Centre profiles,2115,samara martins,Samara Martins (UP),0.01,68,0.03215130023640662
chatgpt_web,Centre profiles,2115,edmilson costa,Edmilson Costa (PCB),0,45,0.02127659574468085
chatgpt_web,Centre profiles,2115,clariana barao,Clariana Barao (DC),0,150,0.07092198581560284
chatgpt_web,Centre profiles,2115,hertz dias,Hertz Dias (PSTU),0,60,0.028368794326241134
chatgpt_web,Centre profiles,2115,pablo marcal,Pablo Marcal (PRTB),0,194,0.091725768321513
chatgpt_web,Centre profiles,2115,rui costa pimenta,Rui Costa Pimenta (PCO),0,42,0.019858156028368795
chatgpt_web,Centre profiles,2115,wilson grassi,Wilson Grassi (Democrata),0,138,0.06524822695035461
chatgpt_web,Left profiles,3362,luiz inacio lula da silva,Lula (PT),0.38,3275,0.9741225461035098
chatgpt_web,Left profiles,3362,flavio bolsonaro,Flavio Bolsonaro (PL),0.31,3025,0.8997620464009518
chatgpt_web,Left profiles,3362,renan santos,Renan Santos (Missao),0.04,1224,0.364069006543724
chatgpt_web,Left profiles,3362,ronaldo caiado,Ronaldo Caiado (PSD),0.04,1961,0.583283759666865
chatgpt_web,Left profiles,3362,romeu zema,Romeu Zema (Novo),0.02,2441,0.7260559190957763
chatgpt_web,Left profiles,3362,augusto cury,Augusto Cury (Avante),0.02,751,0.22337894110648424
chatgpt_web,Left profiles,3362,samara martins,Samara Martins (UP),0.01,682,0.20285544318857823
chatgpt_web,Left profiles,3362,edmilson costa,Edmilson Costa (PCB),0,608,0.18084473527662107
chatgpt_web,Left profiles,3362,clariana barao,Clariana Barao (DC),0,149,0.044318857822724565
chatgpt_web,Left profiles,3362,hertz dias,Hertz Dias (PSTU),0,677,0.20136823319452707
chatgpt_web,Left profiles,3362,pablo marcal,Pablo Marcal (PRTB),0,205,0.06097560975609756
chatgpt_web,Left profiles,3362,rui costa pimenta,Rui Costa Pimenta (PCO),0,387,0.11511005353955979
chatgpt_web,Left profiles,3362,wilson grassi,Wilson Grassi (Democrata),0,160,0.04759071980963712
chatgpt_web,Right profiles,3064,luiz inacio lula da silva,Lula (PT),0.38,2269,0.7405352480417755
chatgpt_web,Right profiles,3064,flavio bolsonaro,Flavio Bolsonaro (PL),0.31,3037,0.9911879895561357
chatgpt_web,Right profiles,3064,renan santos,Renan Santos (Missao),0.04,1970,0.6429503916449086
chatgpt_web,Right profiles,3064,ronaldo caiado,Ronaldo Caiado (PSD),0.04,2772,0.9046997389033943
chatgpt_web,Right profiles,3064,romeu zema,Romeu Zema (Novo),0.02,2795,0.9122062663185379
chatgpt_web,Right profiles,3064,augusto cury,Augusto Cury (Avante),0.02,387,0.12630548302872063
chatgpt_web,Right profiles,3064,samara martins,Samara Martins (UP),0.01,38,0.012402088772845953
chatgpt_web,Right profiles,3064,edmilson costa,Edmilson Costa (PCB),0,16,0.005221932114882507
chatgpt_web,Right profiles,3064,clariana barao,Clariana Barao (DC),0,11,0.0035900783289817234
chatgpt_web,Right profiles,3064,hertz dias,Hertz Dias (PSTU),0,43,0.014033942558746737
chatgpt_web,Right profiles,3064,pablo marcal,Pablo Marcal (PRTB),0,138,0.04503916449086162
chatgpt_web,Right profiles,3064,rui costa pimenta,Rui Costa Pimenta (PCO),0,7,0.0022845953002610967
chatgpt_web,Right profiles,3064,wilson grassi,Wilson Grassi (Democrata),0,31,0.010117493472584857
claude_opus5,Centre profiles,32,luiz inacio lula da silva,Lula (PT),0.38,32,1
claude_opus5,Centre profiles,32,flavio bolsonaro,Flavio Bolsonaro (PL),0.31,32,1
claude_opus5,Centre profiles,32,renan santos,Renan Santos (Missao),0.04,30,0.9375
claude_opus5,Centre profiles,32,ronaldo caiado,Ronaldo Caiado (PSD),0.04,28,0.875
claude_opus5,Centre profiles,32,romeu zema,Romeu Zema (Novo),0.02,28,0.875
claude_opus5,Centre profiles,32,augusto cury,Augusto Cury (Avante),0.02,30,0.9375
claude_opus5,Centre profiles,32,samara martins,Samara Martins (UP),0.01,18,0.5625
claude_opus5,Centre profiles,32,edmilson costa,Edmilson Costa (PCB),0,13,0.40625
claude_opus5,Centre profiles,32,clariana barao,Clariana Barao (DC),0,11,0.34375
claude_opus5,Centre profiles,32,hertz dias,Hertz Dias (PSTU),0,17,0.53125
claude_opus5,Centre profiles,32,pablo marcal,Pablo Marcal (PRTB),0,10,0.3125
claude_opus5,Centre profiles,32,rui costa pimenta,Rui Costa Pimenta (PCO),0,4,0.125
claude_opus5,Centre profiles,32,wilson grassi,Wilson Grassi (Democrata),0,17,0.53125
claude_opus5,Left profiles,59,luiz inacio lula da silva,Lula (PT),0.38,58,0.9830508474576272
claude_opus5,Left profiles,59,flavio bolsonaro,Flavio Bolsonaro (PL),0.31,58,0.9830508474576272
claude_opus5,Left profiles,59,renan santos,Renan Santos (Missao),0.04,57,0.9661016949152542
claude_opus5,Left profiles,59,ronaldo caiado,Ronaldo Caiado (PSD),0.04,55,0.9322033898305084
