model_key,field_named,answers,share
chatgpt_web,1,731,0.06261778310776084
chatgpt_web,2,1554,0.13311632688024672
chatgpt_web,3,1241,0.10630460853178002
chatgpt_web,4,2320,0.19873222545828337
chatgpt_web,5,2770,0.2372794243618297
chatgpt_web,6,1459,0.12497858488949803
chatgpt_web,7,452,0.038718519787562106
chatgpt_web,8,711,0.06090457426760322
chatgpt_web,9,140,0.011992461881103306
chatgpt_web,10,54,0.004625663868425561
chatgpt_web,11,24,0.002055850608189138
chatgpt_web,12,30,0.002569813260236423
chatgpt_web,13,188,0.016104163097481583
claude_opus5,1,1,0.0035087719298245615
claude_opus5,3,4,0.014035087719298246
claude_opus5,4,7,0.02456140350877193
claude_opus5,5,25,0.08771929824561403
claude_opus5,6,30,0.10526315789473684
claude_opus5,7,18,0.06315789473684211
claude_opus5,8,15,0.05263157894736842
claude_opus5,9,16,0.056140350877192984
claude_opus5,10,61,0.21403508771929824
claude_opus5,11,53,0.18596491228070175
claude_opus5,12,37,0.12982456140350876
claude_opus5,13,18,0.06315789473684211
claude_sonnet5,1,4,0.10256410256410256
claude_sonnet5,3,2,0.05128205128205128
claude_sonnet5,4,10,0.2564102564102564
claude_sonnet5,5,11,0.28205128205128205
claude_sonnet5,6,3,0.07692307692307693
claude_sonnet5,7,2,0.05128205128205128
claude_sonnet5,8,1,0.02564102564102564
claude_sonnet5,9,1,0.02564102564102564
claude_sonnet5,10,4,0.10256410256410256
claude_sonnet5,11,1,0.02564102564102564
deepseek_v4_pro,1,1,0.011904761904761904
deepseek_v4_pro,2,4,0.047619047619047616
deepseek_v4_pro,3,2,0.023809523809523808
deepseek_v4_pro,4,12,0.14285714285714285
deepseek_v4_pro,5,17,0.20238095238095238
deepseek_v4_pro,6,2,0.023809523809523808
deepseek_v4_pro,7,3,0.03571428571428571
deepseek_v4_pro,9,3,0.03571428571428571
deepseek_v4_pro,10,2,0.023809523809523808
deepseek_v4_pro,11,2,0.023809523809523808
deepseek_v4_pro,12,36,0.42857142857142855
gemini_pro,1,3,0.125
gemini_pro,2,13,0.5416666666666666
gemini_pro,3,3,0.125
gemini_pro,4,2,0.08333333333333333
gemini_pro,5,1,0.041666666666666664
gemini_pro,11,1,0.041666666666666664
gemini_pro,12,1,0.041666666666666664
gpt4o,1,1,0.047619047619047616
gpt4o,2,3,0.14285714285714285
gpt4o,3,4,0.19047619047619047
gpt4o,4,4,0.19047619047619047
gpt4o,5,1,0.047619047619047616
gpt4o,7,2,0.09523809523809523
gpt4o,8,1,0.047619047619047616
gpt4o,12,5,0.23809523809523808
gpt56_sol,6,1,1
grok46,2,2,0.01834862385321101
grok46,4,9,0.08256880733944955
grok46,5,21,0.1926605504587156
grok46,6,67,0.6146788990825688
grok46,7,2,0.01834862385321101
grok46,8,6,0.05504587155963303
grok46,9,2,0.01834862385321101
llama_maverick,2,1,0.03225806451612903
llama_maverick,3,4,0.12903225806451613
llama_maverick,4,5,0.16129032258064516
llama_maverick,5,2,0.06451612903225806
llama_maverick,6,1,0.03225806451612903
llama_maverick,9,1,0.03225806451612903
llama_maverick,10,3,0.0967741935483871
llama_maverick,11,4,0.12903225806451613
llama_maverick,12,10,0.3225806451612903
sabia4,1,32,0.37209302325581395
sabia4,2,32,0.37209302325581395
sabia4,3,14,0.16279069767441862
sabia4,4,5,0.05813953488372093
sabia4,6,1,0.011627906976744186
sabia4,9,2,0.023255813953488372
