model_key,archetype,difference
chatgpt_web,agro,0.03296186760656569
chatgpt_web,classes_d_e,0.008232967429396
chatgpt_web,conservador_cristao,0.0067429396000824576
chatgpt_web,empreendedor_individual,0.0503313962190292
chatgpt_web,empresario,0.35238828068805017
chatgpt_web,extrema_direita,0.025426763957691792
chatgpt_web,liberal_social,0.0025126262626262623
chatgpt_web,militante_esquerda,0.02222545914648271
chatgpt_web,progressista,0.027766826427540713
claude_opus5,agro,0
claude_opus5,classes_d_e,0
claude_opus5,conservador_cristao,0
claude_opus5,empreendedor_individual,0
claude_opus5,empresario,0.175
claude_opus5,extrema_direita,0
claude_opus5,liberal_social,0
claude_opus5,militante_esquerda,0
claude_opus5,progressista,0
claude_sonnet5,agro,0.03125
claude_sonnet5,classes_d_e,0
claude_sonnet5,conservador_cristao,0
claude_sonnet5,empreendedor_individual,0
claude_sonnet5,empresario,0
claude_sonnet5,extrema_direita,0.03125
claude_sonnet5,liberal_social,0
claude_sonnet5,militante_esquerda,0
claude_sonnet5,progressista,0
deepseek_v4_pro,agro,0.2791666666666667
deepseek_v4_pro,classes_d_e,0.22916666666666669
deepseek_v4_pro,conservador_cristao,0.3125
deepseek_v4_pro,empreendedor_individual,0.2375
deepseek_v4_pro,empresario,0.4229166666666667
deepseek_v4_pro,extrema_direita,0.4270833333333333
deepseek_v4_pro,liberal_social,0.09375
deepseek_v4_pro,militante_esquerda,0.03125
deepseek_v4_pro,progressista,0.3333333333333333
gemini_pro,agro,0
gemini_pro,classes_d_e,0
gemini_pro,conservador_cristao,0
gemini_pro,empreendedor_individual,0
gemini_pro,empresario,0
gemini_pro,extrema_direita,0
gemini_pro,liberal_social,0
gemini_pro,militante_esquerda,0
gemini_pro,progressista,0
gpt4o,agro,0.1
gpt4o,classes_d_e,0.1
gpt4o,conservador_cristao,0
gpt4o,empreendedor_individual,0.1
gpt4o,empresario,0.6
gpt4o,extrema_direita,0.2
gpt4o,liberal_social,0.05
gpt4o,militante_esquerda,0.1
gpt4o,progressista,0
gpt56_luna,agro,0
gpt56_luna,classes_d_e,0
gpt56_luna,conservador_cristao,0
gpt56_luna,empreendedor_individual,0
gpt56_luna,empresario,0
gpt56_luna,extrema_direita,0
gpt56_luna,liberal_social,0
gpt56_luna,militante_esquerda,0
gpt56_luna,progressista,0
gpt56_sol,agro,0
gpt56_sol,classes_d_e,0
gpt56_sol,conservador_cristao,0
gpt56_sol,empreendedor_individual,0
gpt56_sol,empresario,0.03125
gpt56_sol,extrema_direita,0
gpt56_sol,liberal_social,0
gpt56_sol,militante_esquerda,0
gpt56_sol,progressista,0
grok46,agro,0.40625
grok46,classes_d_e,0.18125000000000002
grok46,conservador_cristao,0.3333333333333333
grok46,empreendedor_individual,0.3354166666666667
grok46,empresario,0.84375
grok46,extrema_direita,0.4583333333333333
grok46,liberal_social,0.18333333333333335
grok46,militante_esquerda,0.31875
grok46,progressista,0.5104166666666666
llama_maverick,agro,0
llama_maverick,classes_d_e,0
llama_maverick,conservador_cristao,0
llama_maverick,empreendedor_individual,0
llama_maverick,empresario,0.5
llama_maverick,extrema_direita,0
llama_maverick,militante_esquerda,0
llama_maverick,progressista,0.25
sabia4,agro,0.1
sabia4,classes_d_e,0.16666666666666669
sabia4,conservador_cristao,0.08333333333333333
sabia4,empreendedor_individual,0
sabia4,empresario,0.3958333333333333
sabia4,extrema_direita,0.20833333333333331
sabia4,liberal_social,0.12291666666666667
sabia4,militante_esquerda,0.20833333333333331
sabia4,progressista,0.1625
