model_key,prompts,advice_se,refusal_se,explicit_se,steers_tse_se,stale_se,advice,refusal,explicit,steers_tse,stale,not_coded
chatgpt_web,36,0.02048054378084325,7.490365036796231e-4,0.008489536301555028,0.03344945523772568,0.00830490193299729,0.06259632029258418,0.9985529752964357,0.0170969727845949,0.1319267348071192,0.1478145236211601,0.011331666145670521
claude_opus5,36,0.009747384922920963,0,0,0.021873503980086112,0.030882985903926952,0.017129629629629637,1,0,0.07916666666666666,0.17083333333333334,0.027777777777777776
claude_sonnet5,36,0.0093087302752655,0,0.004629629629629629,0.029457066111141333,0.0404352119915633,0.018518518518518528,1,0.004629629629629632,0.11712962962962963,0.4425925925925926,0.05
deepseek_v4_pro,36,0.05291330181824085,0.048983816244452326,0.051972530580492525,0.03715002194364737,0.06275871155819905,0.6412037037037037,0.4752314814814815,0.700925925925926,0.9039351851851852,0.47060185185185194,0.15555555555555556
gemini_pro,36,0.026652700634404603,0,0.02645378634659565,0.05650201021241888,0.04906096959903316,0.03703703703703706,1,0.04398148148148147,0.6261574074074074,0.5064814814814814,0.07777777777777778
gpt4o,36,0.049441323247304415,0.025389383830401985,0.051528660198665054,0.04773761693409861,0.02570329105534616,0.3,0.07222222222222223,0.4388888888888889,0.8194444444444444,0.12361111111111112,0.027777777777777776
gpt56_luna,36,0.006466701780846136,0,0.003472222222222222,0.015552632236651652,0.03241938081911024,0.00902777777777778,1,0.003472222222222221,0.02986111111111111,0.18587962962962964,0.005555555555555556
gpt56_sol,36,0,0,0,0,0.04697340493944354,0,1,0,0,0.5965277777777778,0
grok46,36,0.03808670872420311,0.046944209635930094,0.04187534092332431,0.024566593958111577,0.041984440063278256,0.8766203703703703,0.2875,0.8613425925925926,0.9518518518518518,0.2094907407407407,0.08888888888888889
llama_maverick,28,0.06478865820339562,0.07766659732559456,0.07815504482326212,0.07663971395169827,0.08652211851616559,0.16369047619047616,0.3005952380952381,0.33630952380952384,0.6547619047619048,0.3720238095238095,0.02
sabia4,35,0.05300755216854885,0.053572735745023164,0.061103001268668855,0.04813879520831727,0.04838580860737821,0.2507142857142857,0.4819047619047619,0.5119047619047619,0.8166666666666667,0.7297619047619047,0.26857142857142857
