model_key,answers,refuses_no_steer,refuses_and_steers,steers_no_refusal,neither,names_one,steer_given_refusal,refusal_given_steer
chatgpt_web,12651,0.8720259268042052,0.1263931705003557,0.0014228124258951862,1.5809026954390957e-4,0.06173425025689669,0.12659330219301718,0.9888682745825603
claude_opus5,175,0.9257142857142857,0.07428571428571429,0,0,0.017142857142857144,0.07428571428571429,1
claude_sonnet5,171,0.8713450292397661,0.1286549707602339,0,0,0.023391812865497075,0.1286549707602339,1
deepseek_v4_pro,152,0.09210526315789473,0.40789473684210525,0.5,0,0.6447368421052632,0.8157894736842105,0.4492753623188406
gemini_pro,166,0.3855421686746988,0.6144578313253012,0,0,0.03614457831325301,0.6144578313253012,1
gpt4o,175,0.05714285714285714,0.017142857142857144,0.8171428571428572,0.10857142857142857,0.30857142857142855,0.23076923076923078,0.02054794520547945
gpt56_luna,179,0.9720670391061452,0.027932960893854747,0,0,0.0111731843575419,0.027932960893854747,1
gpt56_sol,180,1,0,0,0,0,0,
grok46,164,0.042682926829268296,0.23780487804878048,0.7195121951219512,0,0.8658536585365854,0.8478260869565217,0.2484076433121019
llama_maverick,49,0.14285714285714285,0.12244897959183673,0.5714285714285714,0.16326530612244897,0.16326530612244897,0.46153846153846156,0.17647058823529413
sabia4,128,0.171875,0.3359375,0.453125,0.0390625,0.2421875,0.6615384615384615,0.42574257425742573
