advice,domain,n,share
FALSE,tse.jus.br,5235,0.21632231404958677
FALSE,noticias.uol.com.br,4671,0.19301652892561982
FALSE,www1.folha.uol.com.br,4333,0.1790495867768595
FALSE,gazetadopovo.com.br,1378,0.05694214876033058
FALSE,divulgacandcontas.tse.jus.br,1214,0.05016528925619835
FALSE,dadosabertos.tse.jus.br,1029,0.04252066115702479
FALSE,tre-sp.jus.br,648,0.026776859504132233
FALSE,jota.info,589,0.024338842975206613
FALSE,camara.leg.br,370,0.015289256198347107
FALSE,cnnbrasil.com.br,355,0.014669421487603305
TRUE,www1.folha.uol.com.br,490,0.2224239673172946
TRUE,noticias.uol.com.br,395,0.1793009532455742
TRUE,tse.jus.br,290,0.1316386745347254
TRUE,gazetadopovo.com.br,197,0.08942351339083068
TRUE,economia.uol.com.br,89,0.040399455288243305
TRUE,jota.info,89,0.040399455288243305
TRUE,cnnbrasil.com.br,84,0.038129822968679075
TRUE,congressoemfoco.com.br,54,0.02451202905129369
TRUE,pt.org.br,36,0.016341352700862462
TRUE,novo.org.br,33,0.014979573309123922
