side,domain,source_type,links,share
Left profiles,tse.jus.br,"Official (TSE, Congress, government)",2279,0.2351666494685791
Right profiles,tse.jus.br,"Official (TSE, Congress, government)",2045,0.20297766749379653
Centre profiles,tse.jus.br,"Official (TSE, Congress, government)",1194,0.1799005574807895
Right profiles,divulgacandcontas.tse.jus.br,"Official (TSE, Congress, government)",561,0.05568238213399504
Left profiles,divulgacandcontas.tse.jus.br,"Official (TSE, Congress, government)",420,0.04333918068310804
Right profiles,dadosabertos.tse.jus.br,"Official (TSE, Congress, government)",422,0.04188585607940447
Centre profiles,divulgacandcontas.tse.jus.br,"Official (TSE, Congress, government)",264,0.03977700768419467
Centre profiles,dadosabertos.tse.jus.br,"Official (TSE, Congress, government)",259,0.039023655265933405
Left profiles,dadosabertos.tse.jus.br,"Official (TSE, Congress, government)",374,0.03859250851305335
Left profiles,gov.br,"Official (TSE, Congress, government)",312,0.03219481993602311
Right profiles,tre-sp.jus.br,"Official (TSE, Congress, government)",261,0.025905707196029776
Centre profiles,tre-sp.jus.br,"Official (TSE, Congress, government)",169,0.025463311737230678
Left profiles,tre-sp.jus.br,"Official (TSE, Congress, government)",236,0.02435249200288928
Centre profiles,camara.leg.br,"Official (TSE, Congress, government)",127,0.01913515142383607
Left profiles,camara.leg.br,"Official (TSE, Congress, government)",145,0.01496233618821587
Right profiles,camara.leg.br,"Official (TSE, Congress, government)",128,0.012704714640198511
Centre profiles,www12.senado.leg.br,"Official (TSE, Congress, government)",72,0.010848274822962183
Left profiles,www12.senado.leg.br,"Official (TSE, Congress, government)",85,0.00877102466205758
Right profiles,www12.senado.leg.br,"Official (TSE, Congress, government)",65,0.0064516129032258064
Centre profiles,gov.br,"Official (TSE, Congress, government)",9,0.0013560343528702728
Left profiles,pt.org.br,Party and movement sites,212,0.021875967392425963
Centre profiles,novo.org.br,Party and movement sites,76,0.011450956757571192
Right profiles,novo.org.br,Party and movement sites,89,0.008833746898263028
Left profiles,novo.org.br,Party and movement sites,5,5.159426271798576e-4
Centre profiles,www1.folha.uol.com.br,Press and news,1547,0.23308723821003466
Centre profiles,noticias.uol.com.br,Press and news,1363,0.2053638692180202
Left profiles,www1.folha.uol.com.br,Press and news,1961,0.20235269837994016
Left profiles,noticias.uol.com.br,Press and news,1920,0.19812196883706532
Right profiles,noticias.uol.com.br,Press and news,1783,0.1769727047146402
Right profiles,www1.folha.uol.com.br,Press and news,1315,0.13052109181141439
Right profiles,gazetadopovo.com.br,Press and news,1082,0.10739454094292804
Left profiles,gazetadopovo.com.br,Press and news,321,0.03312351666494686
Right profiles,jota.info,Press and news,329,0.03265508684863524
Right profiles,cnnbrasil.com.br,Press and news,269,0.026699751861042183
Centre profiles,gazetadopovo.com.br,Press and news,172,0.025915323188187435
Centre profiles,jota.info,Press and news,156,0.023504595449751392
Left profiles,jota.info,Press and news,193,0.019915385409142502
Right profiles,economia.uol.com.br,Press and news,191,0.018957816377171217
Centre profiles,cnnbrasil.com.br,Press and news,88,0.013259002561398222
Centre profiles,congressoemfoco.com.br,Press and news,88,0.013259002561398222
Centre profiles,sbtnews.sbt.com.br,Press and news,88,0.013259002561398222
Left profiles,agenciabrasil.ebc.com.br,Press and news,123,0.012692188628624496
Right profiles,infomoney.com.br,Press and news,126,0.01250620347394541
Left profiles,gauchazh.clicrbs.com.br,Press and news,118,0.01217624600144464
Right profiles,poder360.com.br,Press and news,120,0.011910669975186104
Centre profiles,gauchazh.clicrbs.com.br,Press and news,78,0.011752297724875696
Centre profiles,infomoney.com.br,Press and news,77,0.011601627241223444
Centre profiles,economia.uol.com.br,Press and news,76,0.011450956757571192
Centre profiles,poder360.com.br,Press and news,72,0.010848274822962183
Right profiles,congressoemfoco.com.br,Press and news,100,0.009925558312655087
Right profiles,gauchazh.clicrbs.com.br,Press and news,97,0.009627791563275435
Left profiles,cnnbrasil.com.br,Press and news,82,0.008461459085749665
Centre profiles,agenciabrasil.ebc.com.br,Press and news,55,0.00828687660087389
Right profiles,terra.com.br,Press and news,83,0.008238213399503723
Left profiles,poder360.com.br,Press and news,62,0.006397688577030234
Left profiles,infomoney.com.br,Press and news,60,0.006191311526158291
Right profiles,static.poder360.com.br,Press and news,59,0.005856079404466501
Left profiles,economia.uol.com.br,Press and news,55,0.0056753688989784334
Left profiles,terra.com.br,Press and news,51,0.005262614797234547
Centre profiles,terra.com.br,Press and news,34,0.005122796444176586
Right profiles,agenciabrasil.ebc.com.br,Press and news,32,0.003176178660049628
Centre profiles,static.poder360.com.br,Press and news,18,0.0027120687057405456
Left profiles,congressoemfoco.com.br,Press and news,21,0.002166959034155402
Left profiles,static.poder360.com.br,Press and news,12,0.0012382623052316583
Right profiles,sbtnews.sbt.com.br,Press and news,5,4.962779156327543e-4
Right profiles,tse.jus.br,TSE pages about the AI rule,4,3.970223325062035e-4
Left profiles,tse.jus.br,TSE pages about the AI rule,2,2.0637705087194304e-4
Centre profiles,tse.jus.br,TSE pages about the AI rule,1,1.5067048365225252e-4
