surface,canonical
lula,luiz inacio lula da silva
luiz inacio lula,luiz inacio lula da silva
flavio bolsonaro,flavio bolsonaro
jair bolsonaro,jair bolsonaro
bolsonaro,bolsonaro
zema,romeu zema
caiado,ronaldo caiado
tarcisio,tarcisio de freitas
boulos,guilherme boulos
haddad,fernando haddad
tebet,simone tebet
tabata,tabata amaral
marcal,pablo marcal
ratinho jr,ratinho junior
"lula (pt), numero 13",luiz inacio lula da silva
paulo bilynskyj,delegado paulo bilynskyj
luis inacio lula da silva,luiz inacio lula da silva
lula da silva,luiz inacio lula da silva
romeu zema neto,romeu zema
flavio nantes bolsonaro,flavio bolsonaro
augusto jorge cury,augusto cury
samara feitosa,samara martins
samara martins da silva feitosa,samara martins
hertz da conceicao dias,hertz dias
renan antonio ferreira dos santos,renan santos
wilson grassi junior,wilson grassi
rui pimenta,rui costa pimenta
renan dos santos,renan santos
edmilson dias,edmilson costa
pablo marcal (prtb),pablo marcal
