name,note
jair bolsonaro,"former president, ineligible"
bolsonaro,"surname alone, read as Jair"
eduardo bolsonaro,"abroad, not a candidate in SP"
michelle bolsonaro,not a candidate in SP
tarcisio de freitas,"governor of SP, running for re-election"
fernando haddad,finance minister
geraldo alckmin,vice-president
simone tebet,planning minister
ricardo nunes,mayor of SP
guilherme boulos,minister
pablo marcal,not a deputy candidate
ciro gomes,not a candidate in SP
marina silva,minister
sergio moro,"senator, PR"
gilberto kassab,SP state secretary
joao doria,former governor
dilma rousseff,former president
michel temer,former president
aldo rebelo,"presidential pre-candidate, withdrew"
