model,ask,cargo,n,refused2_rate,party_rate,zeta_rate,mean_zeta,names_person_rate,no_party_not_refused2_rate
claude_opus,candidate,dep_federal,670,0.45671641791044776,0.1417910447761194,0.1417910447761194,-0.2849578947368421,0.6223880597014926,0.4388059701492537
claude_opus,candidate,presidente,670,0.3,0.33880597014925373,0.33880597014925373,-0.2944449339207048,0.5238805970149254,0.4373134328358209
claude_opus,open,dep_federal,670,0.8238805970149253,0.12835820895522387,0.12835820895522387,-0.35783720930232554,0.7373134328358208,0.11940298507462686
claude_opus,open,presidente,670,0.5074626865671642,0.491044776119403,0.491044776119403,-0.4512492401215805,0.7955223880597015,0.12686567164179105
claude_sonnet,candidate,dep_federal,670,0.7582089552238805,0.38656716417910447,0.38656716417910447,-0.09958301158301157,0.9582089552238806,0.05970149253731343
claude_sonnet,candidate,presidente,670,0.38656716417910447,0.8029850746268656,0.7940298507462686,-0.1350563909774436,0.9746268656716418,0.05223880597014925
claude_sonnet,open,dep_federal,670,0.4507462686567164,0.5805970149253732,0.5805970149253732,-0.02738817480719793,0.9940298507462687,0.06119402985074627
claude_sonnet,open,presidente,670,0.13432835820895522,0.8895522388059701,0.8895522388059701,-0.255234899328859,0.9955223880597015,0.019402985074626865
deepseek,candidate,dep_federal,319,0.109717868338558,0.64576802507837,0.64576802507837,-0.2173398058252427,0.8746081504702194,0.26959247648902823
deepseek,candidate,presidente,452,0.1084070796460177,0.7588495575221239,0.7588495575221239,-0.003011661807580157,0.9269911504424779,0.1570796460176991
deepseek,open,dep_federal,385,0.11168831168831168,0.5142857142857142,0.5142857142857142,-0.07096969696969696,0.7662337662337663,0.37922077922077924
deepseek,open,presidente,425,0.058823529411764705,0.7388235294117647,0.7388235294117647,0.07719426751592358,0.9105882352941177,0.22823529411764706
gemini_flash,candidate,dep_federal,670,0.14925373134328357,0.6776119402985075,0.6776119402985075,-0.10708149779735682,0.982089552238806,0.21044776119402986
gemini_flash,candidate,presidente,670,0.21791044776119403,0.6850746268656717,0.6850746268656717,0.07284967320261439,0.9552238805970149,0.13134328358208955
gemini_flash,open,dep_federal,670,0.03731343283582089,0.7686567164179104,0.7671641791044777,0.02587159533073931,0.9985074626865672,0.19701492537313434
gemini_flash,open,presidente,670,0.056716417910447764,0.7597014925373134,0.7597014925373134,-0.07250491159135558,0.9119402985074627,0.1925373134328358
gemini_pro,candidate,dep_federal,665,0.08421052631578947,0.04962406015037594,0.04962406015037594,-0.6159090909090909,0.16691729323308271,0.8661654135338346
gemini_pro,candidate,presidente,656,0.053353658536585365,0.027439024390243903,0.027439024390243903,-0.4278888888888889,0.15548780487804878,0.9192073170731707
gemini_pro,open,dep_federal,657,0.0121765601217656,0.045662100456621,0.045662100456621,-0.45419999999999994,0.1689497716894977,0.9421613394216134
gemini_pro,open,presidente,664,0.01957831325301205,0.06475903614457831,0.06475903614457831,-0.3100930232558139,0.19578313253012047,0.91716867469879515
gpt4o,candidate,dep_federal,670,0.034328358208955224,0.44776119402985076,0.44776119402985076,-0.3054933333333333,0.9955223880597015,0.517910447761194
gpt4o,candidate,presidente,670,0.04776119402985075,0.4343283582089552,0.4343283582089552,-0.1768247422680412,0.9880597014925373,0.5194029850746269
gpt4o,open,dep_federal,670,0.01791044776119403,0.5164179104477612,0.5164179104477612,-0.09689017341040461,0.9731343283582089,0.46567164179104475
gpt4o,open,presidente,670,0.022388059701492536,0.4134328358208955,0.4134328358208955,-0.28967509025270755,0.9940298507462687,0.5746268656716418
gpt5,candidate,dep_federal,5,1,0,0,NA,0,0
gpt5,candidate,presidente,78,0.8974358974358975,0,0,NA,0.1282051282051282,0.10256410256410256
gpt5,open,dep_federal,1,1,0,0,NA,0,0
gpt5,open,presidente,52,0.8269230769230769,0.057692307692307696,0.057692307692307696,-0.2963333333333333,0.23076923076923078,0.17307692307692307
grok,candidate,dep_federal,670,0.12985074626865672,0.8746268656716418,0.8746268656716418,-0.021564846416382247,0.9985074626865672,0.004477611940298508
grok,candidate,presidente,670,0.05522388059701493,0.9492537313432836,0.9492537313432836,-0.11854088050314464,1,0.008955223880597015
grok,open,dep_federal,670,0.0880597014925373,0.9343283582089552,0.9328358208955224,0.017832000000000008,1,0
grok,open,presidente,670,0.011940298507462687,0.9985074626865672,0.9985074626865672,-0.36513751868460387,1,0
llama,candidate,dep_federal,670,0.21343283582089553,0.4164179104477612,0.4164179104477612,-0.31768100358422935,0.9880597014925373,0.3850746268656716
llama,candidate,presidente,670,0.2701492537313433,0.4716417910447761,0.4716417910447761,-0.14487025316455693,0.9940298507462687,0.30149253731343284
llama,open,dep_federal,670,0.11641791044776119,0.6194029850746269,0.6194029850746269,-0.10809397590361444,0.9761194029850746,0.3238805970149254
llama,open,presidente,670,0.10746268656716418,0.5507462686567164,0.5507462686567164,-0.23228726287262869,0.991044776119403,0.4044776119402985
mistral,candidate,dep_federal,665,0.013533834586466165,0.9233082706766917,0.9233082706766917,-0.04282736156351791,1,0.06616541353383458
mistral,candidate,presidente,670,0.013432835820895522,0.9731343283582089,0.9731343283582089,-0.08790184049079752,1,0.025373134328358207
mistral,open,dep_federal,670,0.0029850746268656717,0.9582089552238806,0.9567164179104478,-0.008168486739469566,0.9940298507462687,0.041791044776119404
mistral,open,presidente,670,0.04328358208955224,0.9865671641791045,0.9865671641791045,-0.10496066565809377,0.9985074626865672,0.013432835820895522
sabia4,candidate,dep_federal,670,0.7492537313432835,0.3417910447761194,0.3417910447761194,-0.15034497816593884,0.9567164179104478,0.005970149253731343
sabia4,candidate,presidente,670,0.5552238805970149,0.4761194029850746,0.46119402985074626,-0.3294789644012945,0.9492537313432836,0.05522388059701493
sabia4,open,dep_federal,670,0.5119402985074627,0.5432835820895522,0.5432835820895522,-0.0930576923076923,0.9522388059701492,0.0014925373134328358
sabia4,open,presidente,670,0.3492537313432836,0.6223880597014926,0.6164179104477612,-0.28074092009685225,0.9582089552238806,0.06119402985074627
