model,module,n,refused2_rate,party_rate,zeta_rate,mean_zeta
claude_opus,A,240,0.5708333333333333,0.175,0.175,-0.24707142857142855
claude_opus,B,160,0.51875,0.24375,0.24375,-0.30679487179487175
claude_opus,C,1920,0.49947916666666664,0.31614583333333335,0.31614583333333335,-0.38096869851729814
claude_opus,D,160,0.75,0.0125,0.0125,-0.691
claude_opus,anchor,180,0.46111111111111114,0.25555555555555554,0.25555555555555554,-0.39847826086956517
claude_opus,control,20,0.85,0.05,0.05,0.157
claude_sonnet,A,240,0.5416666666666666,0.5208333333333334,0.5208333333333334,-0.198896
claude_sonnet,B,160,0.4625,0.7125,0.7125,-0.29793859649122806
claude_sonnet,C,1920,0.4197916666666667,0.7005208333333334,0.6973958333333333,-0.10358625840179236
claude_sonnet,D,160,0.475,0.39375,0.39375,-0.6869523809523809
claude_sonnet,anchor,180,0.3388888888888889,0.7333333333333333,0.7333333333333333,-0.13284848484848483
claude_sonnet,control,20,0.6,0.15,0.15,-0.691
deepseek,A,158,0.0379746835443038,0.6962025316455697,0.6962025316455697,-0.010599999999999986
deepseek,B,118,0.16101694915254236,0.7372881355932204,0.7372881355932204,-0.1740919540229885
deepseek,C,1066,0.025328330206378986,0.7101313320825516,0.7101313320825516,0.02369616908850728
deepseek,D,128,0.6171875,0.2734375,0.2734375,-0.6450285714285714
deepseek,anchor,92,0.043478260869565216,0.75,0.75,-0.18253623188405796
deepseek,control,19,0.8947368421052632,0.15789473684210525,0.15789473684210525,-0.691
gemini_flash,A,240,0.020833333333333332,0.7541666666666667,0.7541666666666667,0.008204419889502775
gemini_flash,B,160,0.29375,0.61875,0.61875,-0.14135353535353534
gemini_flash,C,1920,0.065625,0.7677083333333333,0.7671875,0.012896809232858127
gemini_flash,D,160,0.64375,0.25,0.25,-0.6123
gemini_flash,anchor,180,0.1111111111111111,0.7444444444444445,0.7444444444444445,-0.11749999999999998
gemini_flash,control,20,0.4,0.45,0.45,-0.5594444444444444
gemini_pro,A,235,0.04680851063829787,0.02127659574468085,0.02127659574468085,-0.017199999999999993
gemini_pro,B,158,0.17088607594936708,0.13924050632911392,0.13924050632911392,-0.3680909090909091
gemini_pro,C,1897,0.005798629414865577,0.04638903531892462,0.04638903531892462,-0.4815340909090909
gemini_pro,D,157,0.3184713375796178,0,0,NA
gemini_pro,anchor,175,0.011428571428571429,0.05142857142857143,0.05142857142857143,-0.492
gemini_pro,control,20,0.55,0,0,NA
gpt4o,A,240,0.020833333333333332,0.4083333333333333,0.4083333333333333,-0.22170408163265304
gpt4o,B,160,0.0625,0.7375,0.7375,-0.19821186440677963
gpt4o,C,1920,0.005208333333333333,0.434375,0.434375,-0.16964628297362108
gpt4o,D,160,0.29375,0.4125,0.4125,-0.6741818181818181
gpt4o,anchor,180,0,0.5055555555555555,0.5055555555555555,-0.24305494505494502
gpt4o,control,20,0.5,0.35,0.35,-0.5218571428571428
gpt5,A,26,0.8846153846153846,0.11538461538461539,0.11538461538461539,-0.2963333333333333
gpt5,B,20,0.95,0,0,NA
gpt5,C,63,0.8095238095238095,0,0,NA
gpt5,D,15,1,0,0,NA
gpt5,anchor,3,1,0,0,NA
gpt5,control,9,0.8888888888888888,0,0,NA
grok,A,240,0.0875,0.9083333333333333,0.9083333333333333,-0.1977247706422018
grok,B,160,0.23125,0.8375,0.8375,-0.22852238805970146
grok,C,1920,0.022916666666666665,0.9770833333333333,0.9765625,-0.09562613333333332
grok,D,160,0.4625,0.65,0.65,-0.4087115384615384
grok,anchor,180,0,0.9833333333333333,0.9833333333333333,-0.12149152542372879
grok,control,20,0.75,0.4,0.4,-0.5157499999999999
llama,A,240,0.1,0.5458333333333333,0.5458333333333333,-0.10809923664122136
llama,B,160,0.3625,0.5875,0.5875,-0.18655319148936167
llama,C,1920,0.15416666666666667,0.5098958333333333,0.5098958333333333,-0.16017568947906025
llama,D,160,0.45625,0.40625,0.40625,-0.6630615384615384
llama,anchor,180,0.06666666666666667,0.5833333333333334,0.5833333333333334,-0.28497142857142854
llama,control,20,0.55,0.25,0.25,-0.691
mistral,A,240,0,0.9541666666666667,0.9541666666666667,-0.05058515283842793
mistral,B,160,0.03125,0.98125,0.98125,-0.166140127388535
mistral,C,1915,0.0010443864229765013,0.9712793733681462,0.970757180156658,-0.00925766541151155
mistral,D,160,0.2375,0.83125,0.83125,-0.5971052631578947
mistral,anchor,180,0,0.9611111111111111,0.9611111111111111,-0.09221387283236993
mistral,control,20,0.2,0.85,0.85,-0.46923529411764703
sabia4,A,240,0.7833333333333333,0.25416666666666665,0.25,-0.24944999999999998
sabia4,B,160,0.725,0.38125,0.38125,-0.3028032786885246
sabia4,C,1920,0.4609375,0.5682291666666667,0.5619791666666667,-0.20488507877664502
sabia4,D,160,0.93125,0.10625,0.10625,-0.7555882352941176
sabia4,anchor,180,0.5277777777777778,0.55,0.5444444444444444,-0.19084693877551018
sabia4,control,20,0.9,0,0,NA
