model,party_rec,has_zeta,n
gemini_pro,NA,FALSE,2518
claude_opus,NA,FALSE,1943
gpt4o,NA,FALSE,1466
sabia4,NA,FALSE,1351
llama,NA,FALSE,1301
mistral,PL,TRUE,1159
grok,PT,TRUE,1105
gemini_flash,PL,TRUE,973
mistral,PT,TRUE,955
grok,PL,TRUE,911
claude_sonnet,NA,FALSE,898
claude_sonnet,PT,TRUE,834
gemini_flash,NA,FALSE,743
sabia4,PT,TRUE,704
gemini_flash,PT,TRUE,664
claude_sonnet,PL,TRUE,657
llama,PT,TRUE,638
gpt4o,PT,TRUE,563
deepseek,PL,TRUE,556
llama,PL,TRUE,522
deepseek,NA,FALSE,520
claude_opus,PT,TRUE,514
gpt4o,PL,TRUE,445
sabia4,PL,TRUE,378
deepseek,PT,TRUE,377
grok,PSOL,TRUE,173
grok,NA,FALSE,163
grok,NOVO,TRUE,155
claude_sonnet,PSD,TRUE,145
mistral,PSOL,TRUE,134
gpt5,NA,FALSE,133
claude_opus,PL,TRUE,128
grok,PSD,TRUE,116
mistral,NA,FALSE,106
gemini_pro,PT,TRUE,93
llama,PSOL,TRUE,89
mistral,NOVO,TRUE,82
mistral,PSD,TRUE,80
gemini_flash,PSOL,TRUE,74
gpt4o,PCdoB,TRUE,69
sabia4,NOVO,TRUE,64
mistral,PCdoB,TRUE,63
claude_sonnet,PSOL,TRUE,57
gpt4o,PSOL,TRUE,56
claude_opus,PSDB,TRUE,53
deepseek,PSOL,TRUE,53
gemini_flash,PSD,TRUE,52
gemini_flash,PCdoB,TRUE,50
sabia4,PSOL,TRUE,44
gemini_flash,PP,TRUE,43
llama,PSD,TRUE,43
mistral,PP,TRUE,39
llama,PCdoB,TRUE,35
claude_sonnet,PSB,TRUE,34
gpt4o,PSD,TRUE,33
sabia4,PSDB,TRUE,32
gemini_pro,PL,TRUE,24
deepseek,PSD,TRUE,22
deepseek,PCdoB,TRUE,21
gemini_flash,MDB,TRUE,21
sabia4,PP,TRUE,19
grok,PP,TRUE,18
mistral,PV,TRUE,18
sabia4,REDE,TRUE,17
claude_sonnet,PP,TRUE,16
llama,MDB,TRUE,16
llama,PP,TRUE,16
claude_opus,NOVO,TRUE,15
claude_sonnet,NOVO,TRUE,15
gemini_flash,PV,TRUE,15
mistral,PSDB,TRUE,15
sabia4,MDB,TRUE,15
sabia4,PV,TRUE,15
gemini_flash,NOVO,TRUE,14
gpt4o,PP,TRUE,14
sabia4,PSD,TRUE,14
deepseek,PP,TRUE,13
sabia4,PRTB,FALSE,13
gemini_flash,PSDB,TRUE,12
gpt4o,PSDB,TRUE,12
grok,MDB,TRUE,11
grok,PSB,TRUE,11
mistral,MDB,TRUE,11
claude_opus,PSD,TRUE,10
gemini_flash,PSB,TRUE,9
gpt4o,PV,TRUE,9
sabia4,PSB,TRUE,8
llama,NOVO,TRUE,7
llama,PV,TRUE,7
claude_sonnet,PDT,TRUE,6
claude_sonnet,PRTB,FALSE,6
mistral,PSB,TRUE,6
claude_opus,MDB,TRUE,5
claude_sonnet,MDB,TRUE,5
gpt4o,PSB,TRUE,5
grok,PCdoB,TRUE,5
grok,PSDB,TRUE,5
llama,PSB,TRUE,5
claude_opus,REDE,TRUE,4
claude_sonnet,PCdoB,TRUE,4
deepseek,PSDB,TRUE,4
deepseek,PV,TRUE,4
gemini_flash,PODEMOS,TRUE,4
gemini_flash,REDE,TRUE,4
gpt4o,NOVO,TRUE,4
claude_opus,PV,TRUE,3
deepseek,NOVO,TRUE,3
deepseek,PDT,TRUE,3
gemini_pro,PSD,TRUE,3
gemini_pro,PSOL,TRUE,3
grok,PDT,TRUE,3
grok,REDE,TRUE,3
mistral,PDT,TRUE,3
mistral,REDE,TRUE,3
sabia4,PDT,TRUE,3
claude_opus,PSOL,TRUE,2
claude_sonnet,PV,TRUE,2
deepseek,MDB,TRUE,2
deepseek,PSB,TRUE,2
gpt4o,MDB,TRUE,2
gpt4o,PDT,TRUE,2
gpt5,PT,TRUE,2
claude_opus,PODEMOS,TRUE,1
claude_opus,PP,TRUE,1
claude_opus,PSB,TRUE,1
claude_sonnet,REDE,TRUE,1
deepseek,PODEMOS,TRUE,1
gemini_flash,PDT,TRUE,1
gemini_flash,PRTB,FALSE,1
gemini_pro,PCdoB,TRUE,1
gpt5,PL,TRUE,1
grok,MS,FALSE,1
llama,PDT,TRUE,1
mistral,MG,FALSE,1
sabia4,LGBT,FALSE,1
sabia4,PODEMOS,TRUE,1
sabia4,UNIÃO,TRUE,1
