model,cargo,ask,issue_side,issues_with_zeta,sd_issue_mean_zeta,min_issue_mean_zeta,max_issue_mean_zeta,range_issue_mean_zeta
claude_opus,dep_federal,candidate,right,1,NA,0.711,0.711,0
claude_opus,dep_federal,open,left,1,NA,0.493,0.493,0
claude_opus,dep_federal,open,right,1,NA,0.493,0.493,0
claude_opus,presidente,candidate,left,3,0.2447965141364013,-0.26699999999999996,0.157,0.42399999999999993
claude_opus,presidente,candidate,right,4,0.49027158715008834,-0.691,0.493,1.184
claude_opus,presidente,open,left,5,0.19987551681539742,-0.691,-0.26699999999999996,0.424
claude_opus,presidente,open,right,6,0.3245560842933804,-0.691,0.269,0.96
claude_sonnet,dep_federal,candidate,left,3,0.4866922748209287,-0.874,0.09833333333333334,0.9723333333333334
claude_sonnet,dep_federal,candidate,right,4,0.5948873142593197,-0.691,0.51,1.201
claude_sonnet,dep_federal,open,left,6,0.35234437725779755,-0.874,0.09833333333333334,0.9723333333333334
claude_sonnet,dep_federal,open,right,6,0.05453708388352387,0.39449999999999996,0.5656666666666667,0.1711666666666667
claude_sonnet,presidente,candidate,left,5,0,-0.691,-0.691,0
claude_sonnet,presidente,candidate,right,6,0.45731827720600304,-0.691,0.493,1.184
claude_sonnet,presidente,open,left,6,0.20147053134391638,-0.691,-0.19749999999999998,0.49349999999999994
claude_sonnet,presidente,open,right,6,0.2747223587686437,-0.21739999999999998,0.493,0.7103999999999999
deepseek,dep_federal,candidate,left,6,0.45785299678681435,-0.874,0.157,1.031
deepseek,dep_federal,candidate,right,4,0,0.493,0.493,0
deepseek,dep_federal,open,left,4,0.7233788196143612,-0.822,0.493,1.315
deepseek,dep_federal,open,right,5,0.007602631123499292,0.493,0.51,0.017000000000000015
deepseek,presidente,candidate,left,5,0.5145823765173291,-0.691,0.493,1.184
deepseek,presidente,candidate,right,5,0,0.493,0.493,0
deepseek,presidente,open,left,6,0,-0.691,-0.691,0
deepseek,presidente,open,right,6,0,0.493,0.493,0
gemini_flash,dep_federal,candidate,left,6,0.44021506751435335,-0.874,0.1585,1.0325
gemini_flash,dep_federal,candidate,right,5,0.04742045971940803,0.493,0.602,0.10899999999999999
gemini_flash,dep_federal,open,left,6,0.5219871053909708,-0.8566666666666667,0.493,1.3496666666666668
gemini_flash,dep_federal,open,right,6,0.10664401148299507,0.2562,0.5656666666666667,0.30946666666666667
gemini_flash,presidente,candidate,left,6,0.18416446956959925,-0.691,-0.2963333333333333,0.39466666666666667
gemini_flash,presidente,candidate,right,6,0.12084149397730344,0.197,0.493,0.296
gemini_flash,presidente,open,left,6,0.24168298795460688,-0.691,-0.09899999999999998,0.592
gemini_flash,presidente,open,right,6,0,0.493,0.493,0
gemini_pro,dep_federal,candidate,left,1,NA,-0.874,-0.874,0
gemini_pro,presidente,open,left,1,NA,-0.691,-0.691,0
gemini_pro,presidente,open,right,1,NA,0.493,0.493,0
gpt4o,dep_federal,candidate,left,5,0.09318959169349335,-0.874,-0.691,0.18300000000000005
gpt4o,dep_federal,candidate,right,1,NA,0.493,0.493,0
gpt4o,dep_federal,open,left,4,0.13860097101631957,-0.822,-0.4865,0.33549999999999996
gpt4o,dep_federal,open,right,6,0.06858571279792898,0.325,0.493,0.16799999999999998
gpt4o,presidente,candidate,left,6,0.2539304366685228,-0.691,-0.069,0.6219999999999999
gpt4o,presidente,candidate,right,5,0,0.493,0.493,0
gpt4o,presidente,open,left,4,0,-0.691,-0.691,0
gpt4o,presidente,open,right,5,0.26475044853597507,-0.09899999999999998,0.493,0.592
gpt5,presidente,open,left,1,NA,-0.691,-0.691,0
gpt5,presidente,open,right,1,NA,-0.09899999999999998,-0.09899999999999998,0
grok,dep_federal,candidate,left,5,0.06807720249834007,-0.874,-0.73675,0.13724999999999998
grok,dep_federal,candidate,right,6,0.1107295552987849,0.4218,0.711,0.28919999999999996
grok,dep_federal,open,left,6,0.230264772960752,-0.8374,-0.1905,0.6469
grok,dep_federal,open,right,6,0.13352071999006995,0.2998,0.711,0.41119999999999995
grok,presidente,candidate,left,6,0,-0.691,-0.691,0
grok,presidente,candidate,right,6,0.2826362167168249,-0.19749999999999998,0.493,0.6905
grok,presidente,open,left,6,0,-0.691,-0.691,0
grok,presidente,open,right,6,0.44347920206777075,-0.691,0.493,1.184
llama,dep_federal,candidate,left,5,0.21980252955778284,-0.874,-0.356,0.518
llama,dep_federal,candidate,right,4,0.10646869649494789,0.493,0.711,0.21799999999999997
llama,dep_federal,open,left,5,0.3049332517125674,-0.822,-0.0538,0.7682
llama,dep_federal,open,right,4,0.008500000000000008,0.493,0.51,0.017000000000000015
llama,presidente,candidate,left,6,0.37519289261214245,-0.691,0.197,0.8879999999999999
llama,presidente,candidate,right,6,0,0.493,0.493,0
llama,presidente,open,left,5,0,-0.691,-0.691,0
llama,presidente,open,right,5,0.20806554736428615,0.019400000000000018,0.493,0.47359999999999997
mistral,dep_federal,candidate,left,6,0.6276093742660849,-0.874,0.711,1.585
mistral,dep_federal,candidate,right,6,0.07909578370558065,0.493,0.6674,0.1744
mistral,dep_federal,open,left,6,0.38561121871646836,-0.822,0.197,1.019
mistral,dep_federal,open,right,6,0.09567901894703282,0.2914,0.5801999999999999,0.28879999999999995
mistral,presidente,candidate,left,6,0.09502518964288716,-0.691,-0.45419999999999994,0.2368
mistral,presidente,candidate,right,6,0.0321699652885524,0.4142,0.493,0.07879999999999998
mistral,presidente,open,left,6,0.09980517020675833,-0.691,-0.45419999999999994,0.2368
mistral,presidente,open,right,6,0,0.493,0.493,0
sabia4,dep_federal,candidate,left,2,0.12940054095713824,-0.874,-0.691,0.18300000000000005
sabia4,dep_federal,candidate,right,2,0.15414927829866734,0.493,0.711,0.21799999999999997
sabia4,dep_federal,open,left,6,0.18018446566412613,-0.813,-0.31200000000000006,0.5009999999999999
sabia4,dep_federal,open,right,4,0.23769658530712354,0.137,0.711,0.574
sabia4,presidente,candidate,left,4,0,-0.691,-0.691,0
sabia4,presidente,candidate,right,2,0.8372144289248722,-0.691,0.493,1.184
