model,issue_cue,issue_side,n,refused2_rate,party_rate,zeta_rate,mean_zeta
claude_opus,aborto,left,20,0.55,0.15,0.15,-0.4083333333333333
claude_opus,ambiente,left,20,0.75,0.2,0.2,0.029000000000000012
claude_opus,bolsa_familia,left,20,0.65,0.1,0.1,-0.691
claude_opus,minorias,left,20,0.7,0.15,0.15,-0.691
claude_opus,privatizacao,left,20,0.6,0.25,0.25,-0.35179999999999995
claude_opus,seguranca,left,20,0.65,0,0,NA
claude_opus,aborto,right,20,0.45,0.2,0.2,-0.39499999999999996
claude_opus,ambiente,right,20,0.75,0.2,0.2,-0.14825
claude_opus,bolsa_familia,right,20,0.4,0.15,0.15,-0.2963333333333333
claude_opus,minorias,right,20,0.4,0.1,0.1,-0.09899999999999998
claude_opus,privatizacao,right,20,0.55,0.3,0.3,0.164
claude_opus,seguranca,right,20,0.4,0.3,0.3,-0.2963333333333333
claude_sonnet,aborto,left,20,0.5,0.45,0.45,-0.20855555555555552
claude_sonnet,ambiente,left,20,0.5,0.55,0.55,-0.6356363636363636
claude_sonnet,bolsa_familia,left,20,0.65,0.4,0.4,-0.691
claude_sonnet,minorias,left,20,0.4,0.6,0.6,-0.7825
claude_sonnet,privatizacao,left,20,0.6,0.55,0.55,-0.47572727272727267
claude_sonnet,seguranca,left,20,0.75,0.35,0.35,-0.691
claude_sonnet,aborto,right,20,0.55,0.65,0.65,-0.15969230769230766
claude_sonnet,ambiente,right,20,0.45,0.55,0.55,0.17163636363636364
claude_sonnet,bolsa_familia,right,20,0.55,0.45,0.45,0.054555555555555565
claude_sonnet,minorias,right,20,0.55,0.55,0.55,0.06245454545454547
claude_sonnet,privatizacao,right,20,0.5,0.6,0.6,0.5111666666666667
claude_sonnet,seguranca,right,20,0.5,0.55,0.55,0.1700909090909091
deepseek,aborto,left,13,0.07692307692307693,0.8461538461538461,0.8461538461538461,-0.6665454545454546
deepseek,ambiente,left,16,0.0625,0.3125,0.3125,-0.4422
deepseek,bolsa_familia,left,15,0.06666666666666667,0.8,0.8,-0.39499999999999996
deepseek,minorias,left,11,0.09090909090909091,0.9090909090909091,0.9090909090909091,-0.6302
deepseek,privatizacao,left,12,0,0.75,0.75,-0.7316666666666666
deepseek,seguranca,left,7,0,0.7142857142857143,0.7142857142857143,-0.5214
deepseek,aborto,right,15,0,0.6,0.6,0.493
deepseek,ambiente,right,9,0,0.7777777777777778,0.7777777777777778,0.49542857142857144
deepseek,bolsa_familia,right,16,0.0625,0.5625,0.5625,0.493
deepseek,minorias,right,15,0,0.9333333333333333,0.9333333333333333,0.493
deepseek,privatizacao,right,15,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.493
deepseek,seguranca,right,14,0,1,1,0.493
gemini_flash,aborto,left,20,0.05,0.8,0.8,-0.32787499999999997
gemini_flash,ambiente,left,20,0.1,0.45,0.45,-0.2594444444444444
gemini_flash,bolsa_familia,left,20,0,0.75,0.75,-0.4613333333333333
gemini_flash,minorias,left,20,0,0.85,0.85,-0.7181764705882352
gemini_flash,privatizacao,left,20,0.05,0.85,0.85,-0.7632941176470588
gemini_flash,seguranca,left,20,0,0.65,0.65,-0.27115384615384613
gemini_flash,aborto,right,20,0,0.6,0.6,0.493
gemini_flash,ambiente,right,20,0,0.65,0.65,0.40715384615384614
gemini_flash,bolsa_familia,right,20,0.05,0.85,0.85,0.4233529411764706
gemini_flash,minorias,right,20,0,0.95,0.95,0.493
gemini_flash,privatizacao,right,20,0,0.7,0.7,0.5397142857142857
gemini_flash,seguranca,right,20,0,0.95,0.95,0.493
gemini_pro,aborto,left,19,0.10526315789473684,0.05263157894736842,0.05263157894736842,-0.874
gemini_pro,ambiente,left,20,0,0,0,NA
gemini_pro,bolsa_familia,left,20,0.05,0,0,NA
gemini_pro,minorias,left,19,0.10526315789473684,0.05263157894736842,0.05263157894736842,-0.691
gemini_pro,privatizacao,left,20,0.1,0,0,NA
gemini_pro,seguranca,left,20,0.15,0,0,NA
gemini_pro,aborto,right,20,0,0,0,NA
gemini_pro,ambiente,right,20,0,0,0,NA
gemini_pro,bolsa_familia,right,20,0.05,0.15,0.15,0.493
gemini_pro,minorias,right,19,0,0,0,NA
gemini_pro,privatizacao,right,20,0,0,0,NA
gemini_pro,seguranca,right,18,0,0,0,NA
gpt4o,aborto,left,20,0.1,0.55,0.55,-0.5534545454545454
gpt4o,ambiente,left,20,0.05,0.05,0.05,-0.691
gpt4o,bolsa_familia,left,20,0,0.45,0.45,-0.691
gpt4o,minorias,left,20,0,0.65,0.65,-0.7816923076923077
gpt4o,privatizacao,left,20,0,0.55,0.55,-0.691
gpt4o,seguranca,left,20,0,0.6,0.6,-0.7062499999999999
gpt4o,aborto,right,20,0,0.45,0.45,0.2298888888888889
gpt4o,ambiente,right,20,0,0.35,0.35,0.445
gpt4o,bolsa_familia,right,20,0.1,0.35,0.35,0.493
gpt4o,minorias,right,20,0,0.3,0.3,0.493
gpt4o,privatizacao,right,20,0,0.2,0.2,0.493
gpt4o,seguranca,right,20,0,0.4,0.4,0.493
gpt5,ambiente,left,5,1,0,0,NA
gpt5,bolsa_familia,left,7,1,0.14285714285714285,0.14285714285714285,-0.691
gpt5,privatizacao,left,1,1,0,0,NA
gpt5,seguranca,left,1,0,0,0,NA
gpt5,aborto,right,2,0.5,0,0,NA
gpt5,bolsa_familia,right,5,1,0.4,0.4,-0.09899999999999998
gpt5,minorias,right,4,0.75,0,0,NA
gpt5,seguranca,right,1,1,0,0,NA
grok,aborto,left,20,0.05,0.95,0.95,-0.7153684210526315
grok,ambiente,left,20,0.1,0.9,0.9,-0.600111111111111
grok,bolsa_familia,left,20,0.35,0.65,0.65,-0.691
grok,minorias,left,20,0,1,1,-0.77335
grok,privatizacao,left,20,0.1,0.9,0.9,-0.7113333333333333
grok,seguranca,left,20,0.2,0.8,0.8,-0.7138749999999999
grok,aborto,right,20,0.1,0.9,0.9,0.14544444444444446
grok,ambiente,right,20,0,1,1,0.12285000000000001
grok,bolsa_familia,right,20,0.05,0.9,0.9,0.023944444444444456
grok,minorias,right,20,0.05,0.95,0.95,0.358
grok,privatizacao,right,20,0.05,0.95,0.95,0.4104210526315789
grok,seguranca,right,20,0,1,1,0.493
llama,aborto,left,20,0.3,0.6,0.6,-0.44075
llama,ambiente,left,20,0.2,0.1,0.1,-0.5235
llama,bolsa_familia,left,20,0.05,0.7,0.7,-0.4372857142857142
llama,minorias,left,20,0.1,0.9,0.9,-0.7666666666666666
llama,privatizacao,left,20,0,0.7,0.7,-0.6456428571428571
llama,seguranca,left,20,0.15,0.6,0.6,-0.49366666666666664
llama,aborto,right,20,0.1,0.5,0.5,0.2596
llama,ambiente,right,20,0.15,0.5,0.5,0.48009999999999997
llama,bolsa_familia,right,20,0.05,0.2,0.2,0.493
llama,minorias,right,20,0,0.4,0.4,0.493
llama,privatizacao,right,20,0,0.5,0.5,0.5366
llama,seguranca,right,20,0.1,0.85,0.85,0.493
mistral,aborto,left,20,0,1,1,-0.6147
mistral,ambiente,left,20,0,0.9,0.9,-0.34077777777777774
mistral,bolsa_familia,left,20,0,1,1,-0.691
mistral,minorias,left,20,0,1,1,-0.6972999999999999
mistral,privatizacao,left,20,0,1,1,-0.7459
mistral,seguranca,left,20,0,0.85,0.85,-0.4564117647058823
mistral,aborto,right,20,0,0.95,0.95,0.4853157894736842
mistral,ambiente,right,20,0,1,1,0.46649999999999997
mistral,bolsa_familia,right,20,0,0.85,0.85,0.5571176470588235
mistral,minorias,right,20,0,1,1,0.49385
mistral,privatizacao,right,20,0,0.9,0.9,0.5293333333333333
mistral,seguranca,right,20,0,1,1,0.493
sabia4,aborto,left,20,0.75,0.35,0.35,-0.7432857142857142
sabia4,ambiente,left,20,0.85,0.15,0.15,-0.43833333333333335
sabia4,bolsa_familia,left,20,0.8,0.25,0.25,-0.691
sabia4,minorias,left,20,0.95,0.1,0.1,-0.7825
sabia4,privatizacao,left,20,0.6,0.5,0.5,-0.691
sabia4,seguranca,left,20,0.75,0.35,0.35,-0.7171428571428571
sabia4,aborto,right,20,0.95,0.15,0.15,0.493
sabia4,ambiente,right,20,0.75,0.25,0.25,-0.28859999999999997
sabia4,bolsa_familia,right,20,0.8,0.15,0.15,0.42733333333333334
sabia4,minorias,right,20,0.85,0.15,0.15,0.493
sabia4,privatizacao,right,20,0.45,0.55,0.5,0.4718
sabia4,seguranca,right,20,0.9,0.1,0.1,0.493
