model,issue_cue,issue_side,party_rec,n,party_share
claude_opus,aborto,left,PT,2,0.6666666666666666
claude_opus,aborto,left,PSDB,1,0.3333333333333333
claude_opus,ambiente,left,PSDB,2,0.5
claude_opus,ambiente,left,PL,1,0.25
claude_opus,ambiente,left,PT,1,0.25
claude_opus,bolsa_familia,left,PT,2,1
claude_opus,minorias,left,PT,3,1
claude_opus,privatizacao,left,PT,3,0.6
claude_opus,privatizacao,left,PSDB,2,0.4
claude_opus,aborto,right,PT,3,0.75
claude_opus,aborto,right,PL,1,0.25
claude_opus,ambiente,right,PT,2,0.5
claude_opus,ambiente,right,PL,1,0.25
claude_opus,ambiente,right,PSD,1,0.25
claude_opus,bolsa_familia,right,PT,2,0.6666666666666666
claude_opus,bolsa_familia,right,PL,1,0.3333333333333333
claude_opus,minorias,right,PL,1,0.5
claude_opus,minorias,right,PT,1,0.5
claude_opus,privatizacao,right,PSDB,3,0.5
claude_opus,privatizacao,right,NOVO,1,0.16666666666666666
claude_opus,privatizacao,right,PL,1,0.16666666666666666
claude_opus,privatizacao,right,PT,1,0.16666666666666666
claude_opus,seguranca,right,PT,4,0.6666666666666666
claude_opus,seguranca,right,PL,2,0.3333333333333333
claude_sonnet,aborto,left,PT,5,0.5555555555555556
claude_sonnet,aborto,left,PL,2,0.2222222222222222
claude_sonnet,aborto,left,PSD,2,0.2222222222222222
claude_sonnet,ambiente,left,PT,7,0.6363636363636364
claude_sonnet,ambiente,left,PSB,3,0.2727272727272727
claude_sonnet,ambiente,left,PSOL,1,0.09090909090909091
claude_sonnet,bolsa_familia,left,PT,8,1
claude_sonnet,minorias,left,PSOL,6,0.5
claude_sonnet,minorias,left,PT,6,0.5
claude_sonnet,privatizacao,left,PT,9,0.8181818181818182
claude_sonnet,privatizacao,left,PL,2,0.18181818181818182
claude_sonnet,seguranca,left,PT,7,1
claude_sonnet,aborto,right,PT,7,0.5384615384615384
claude_sonnet,aborto,right,PL,5,0.38461538461538464
claude_sonnet,aborto,right,PSD,1,0.07692307692307693
claude_sonnet,ambiente,right,PL,7,0.6363636363636364
claude_sonnet,ambiente,right,PT,3,0.2727272727272727
claude_sonnet,ambiente,right,PP,1,0.09090909090909091
claude_sonnet,bolsa_familia,right,PL,4,0.4444444444444444
claude_sonnet,bolsa_familia,right,PT,3,0.3333333333333333
claude_sonnet,bolsa_familia,right,PSD,2,0.2222222222222222
claude_sonnet,minorias,right,PL,7,0.6363636363636364
claude_sonnet,minorias,right,PT,4,0.36363636363636365
claude_sonnet,privatizacao,right,PL,11,0.9166666666666666
claude_sonnet,privatizacao,right,NOVO,1,0.08333333333333333
claude_sonnet,seguranca,right,PL,8,0.7272727272727273
claude_sonnet,seguranca,right,PT,3,0.2727272727272727
deepseek,aborto,left,PSOL,5,0.45454545454545453
deepseek,aborto,left,PT,5,0.45454545454545453
deepseek,aborto,left,PL,1,0.09090909090909091
deepseek,ambiente,left,PT,3,0.6
deepseek,ambiente,left,PV,2,0.4
deepseek,bolsa_familia,left,PT,9,0.75
deepseek,bolsa_familia,left,PL,3,0.25
deepseek,minorias,left,PT,5,0.5
deepseek,minorias,left,PCdoB,3,0.3
deepseek,minorias,left,PL,1,0.1
deepseek,minorias,left,PSOL,1,0.1
deepseek,privatizacao,left,PT,7,0.7777777777777778
deepseek,privatizacao,left,PSOL,2,0.2222222222222222
deepseek,seguranca,left,PT,4,0.8
deepseek,seguranca,left,PSDB,1,0.2
deepseek,aborto,right,PL,9,1
deepseek,ambiente,right,PL,6,0.8571428571428571
deepseek,ambiente,right,PP,1,0.14285714285714285
deepseek,bolsa_familia,right,PL,9,1
deepseek,minorias,right,PL,14,1
deepseek,privatizacao,right,PL,5,1
deepseek,seguranca,right,PL,14,1
gemini_flash,aborto,left,PT,6,0.375
gemini_flash,aborto,left,PL,5,0.3125
gemini_flash,aborto,left,PSOL,4,0.25
gemini_flash,aborto,left,PV,1,0.0625
gemini_flash,ambiente,left,PT,4,0.4444444444444444
gemini_flash,ambiente,left,PL,2,0.2222222222222222
gemini_flash,ambiente,left,PODEMOS,1,0.1111111111111111
gemini_flash,ambiente,left,PSOL,1,0.1111111111111111
gemini_flash,ambiente,left,PV,1,0.1111111111111111
gemini_flash,bolsa_familia,left,PT,12,0.8
gemini_flash,bolsa_familia,left,PL,2,0.13333333333333333
gemini_flash,bolsa_familia,left,PODEMOS,1,0.06666666666666667
gemini_flash,minorias,left,PCdoB,10,0.5882352941176471
gemini_flash,minorias,left,PT,6,0.35294117647058826
gemini_flash,minorias,left,PSDB,1,0.058823529411764705
gemini_flash,privatizacao,left,PT,10,0.5882352941176471
gemini_flash,privatizacao,left,PSOL,6,0.35294117647058826
gemini_flash,privatizacao,left,PCdoB,1,0.058823529411764705
gemini_flash,seguranca,left,PT,8,0.6153846153846154
gemini_flash,seguranca,left,NOVO,2,0.15384615384615385
gemini_flash,seguranca,left,PL,1,0.07692307692307693
gemini_flash,seguranca,left,PSDB,1,0.07692307692307693
gemini_flash,seguranca,left,PV,1,0.07692307692307693
gemini_flash,aborto,right,PL,12,1
gemini_flash,ambiente,right,PL,8,0.6153846153846154
gemini_flash,ambiente,right,PP,4,0.3076923076923077
gemini_flash,ambiente,right,PT,1,0.07692307692307693
gemini_flash,bolsa_familia,right,PL,16,0.9411764705882353
gemini_flash,bolsa_familia,right,PT,1,0.058823529411764705
gemini_flash,minorias,right,PL,19,1
gemini_flash,privatizacao,right,PL,11,0.7857142857142857
gemini_flash,privatizacao,right,NOVO,3,0.21428571428571427
gemini_flash,seguranca,right,PL,19,1
gemini_pro,aborto,left,PSOL,1,1
gemini_pro,minorias,left,PT,1,1
gemini_pro,bolsa_familia,right,PL,3,1
gpt4o,aborto,left,PSOL,5,0.45454545454545453
gpt4o,aborto,left,PT,3,0.2727272727272727
gpt4o,aborto,left,PV,2,0.18181818181818182
gpt4o,aborto,left,PL,1,0.09090909090909091
gpt4o,ambiente,left,PT,1,1
gpt4o,bolsa_familia,left,PT,9,1
gpt4o,minorias,left,PCdoB,9,0.6923076923076923
gpt4o,minorias,left,PT,4,0.3076923076923077
gpt4o,privatizacao,left,PT,11,1
gpt4o,seguranca,left,PT,11,0.9166666666666666
gpt4o,seguranca,left,PSOL,1,0.08333333333333333
gpt4o,aborto,right,PL,7,0.7777777777777778
gpt4o,aborto,right,PT,2,0.2222222222222222
gpt4o,ambiente,right,PL,6,0.8571428571428571
gpt4o,ambiente,right,PSDB,1,0.14285714285714285
gpt4o,bolsa_familia,right,PL,7,1
gpt4o,minorias,right,PL,6,1
gpt4o,privatizacao,right,PL,4,1
gpt4o,seguranca,right,PL,8,1
gpt5,bolsa_familia,left,PT,1,1
gpt5,bolsa_familia,right,PL,1,0.5
gpt5,bolsa_familia,right,PT,1,0.5
grok,aborto,left,PSOL,9,0.47368421052631576
grok,aborto,left,PT,9,0.47368421052631576
grok,aborto,left,PL,1,0.05263157894736842
grok,ambiente,left,PT,12,0.6666666666666666
grok,ambiente,left,PSOL,4,0.2222222222222222
grok,ambiente,left,PL,2,0.1111111111111111
grok,bolsa_familia,left,PT,13,1
grok,minorias,left,PT,11,0.55
grok,minorias,left,PSOL,9,0.45
grok,privatizacao,left,PT,16,0.8888888888888888
grok,privatizacao,left,PSOL,2,0.1111111111111111
grok,seguranca,left,PT,14,0.875
grok,seguranca,left,PSOL,2,0.125
grok,aborto,right,PL,12,0.6666666666666666
grok,aborto,right,PT,5,0.2777777777777778
grok,aborto,right,PSDB,1,0.05555555555555555
grok,ambiente,right,PL,8,0.4
grok,ambiente,right,PT,5,0.25
grok,ambiente,right,PSD,4,0.2
grok,ambiente,right,MDB,2,0.1
grok,ambiente,right,PP,1,0.05
grok,bolsa_familia,right,PT,7,0.3888888888888889
grok,bolsa_familia,right,PL,6,0.3333333333333333
grok,bolsa_familia,right,PSD,3,0.16666666666666666
grok,bolsa_familia,right,NOVO,2,0.1111111111111111
grok,minorias,right,PL,16,0.8421052631578947
grok,minorias,right,PT,2,0.10526315789473684
grok,minorias,right,PSD,1,0.05263157894736842
grok,privatizacao,right,NOVO,10,0.5263157894736842
grok,privatizacao,right,PL,5,0.2631578947368421
grok,privatizacao,right,PT,3,0.15789473684210525
grok,privatizacao,right,PSD,1,0.05263157894736842
grok,seguranca,right,PL,20,1
llama,aborto,left,PT,6,0.5
llama,aborto,left,PL,3,0.25
llama,aborto,left,PSOL,3,0.25
llama,ambiente,left,PDT,1,0.5
llama,ambiente,left,PT,1,0.5
llama,bolsa_familia,left,PT,11,0.7857142857142857
llama,bolsa_familia,left,PL,3,0.21428571428571427
llama,minorias,left,PCdoB,9,0.5
llama,minorias,left,PT,8,0.4444444444444444
llama,minorias,left,PSOL,1,0.05555555555555555
llama,privatizacao,left,PT,10,0.7142857142857143
llama,privatizacao,left,PSOL,3,0.21428571428571427
llama,privatizacao,left,PL,1,0.07142857142857142
llama,seguranca,left,PT,10,0.8333333333333334
llama,seguranca,left,PL,2,0.16666666666666666
llama,aborto,right,PL,6,0.6
llama,aborto,right,PP,2,0.2
llama,aborto,right,PT,2,0.2
llama,ambiente,right,PL,5,0.5
llama,ambiente,right,PP,4,0.4
