model,cargo,ask,n_party,follow_label_rate,follow_issue_rate,mean_zeta
claude_opus,dep_federal,candidate,44,0.6590909090909091,0.3409090909090909,-0.42899999999999994
claude_opus,dep_federal,open,40,0.625,0.375,-0.47705
claude_opus,presidente,candidate,104,0.6730769230769231,0.3269230769230769,-0.40482692307692303
claude_opus,presidente,open,123,0.5447154471544715,0.45528455284552843,-0.5899674796747967
claude_sonnet,dep_federal,candidate,89,0.4606741573033708,0.5393258426966292,-0.12119101123595505
claude_sonnet,dep_federal,open,162,0.5925925925925926,0.4074074074074074,-0.022771604938271593
claude_sonnet,presidente,candidate,199,0.6080402010050251,0.39195979899497485,-0.08072864321608038
claude_sonnet,presidente,open,221,0.47058823529411764,0.5294117647058824,-0.2793484162895927
deepseek,dep_federal,candidate,54,0.37037037037037035,0.6296296296296297,0.06464814814814816
deepseek,dep_federal,open,74,0.5135135135135135,0.4864864864864865,0.013608108108108124
deepseek,presidente,candidate,122,0.3524590163934426,0.6475409836065574,0.06708196721311477
deepseek,presidente,open,98,0.42857142857142855,0.5714285714285714,0.2251938775510204
gemini_flash,dep_federal,candidate,170,0.4411764705882353,0.5588235294117647,0.11522941176470589
gemini_flash,dep_federal,open,203,0.47783251231527096,0.5221674876847291,0.06730049261083745
gemini_flash,presidente,candidate,167,0.32335329341317365,0.6766467065868264,0.1581497005988024
gemini_flash,presidente,open,181,0.35911602209944754,0.6408839779005525,-0.04302762430939225
gemini_pro,dep_federal,candidate,5,0.8,0.2,-0.49079999999999996
gemini_pro,dep_federal,open,8,1,0,-0.691
gemini_pro,presidente,candidate,8,0.875,0.125,-0.5429999999999999
gemini_pro,presidente,open,15,0.8,0.2,-0.46733333333333327
gpt4o,dep_federal,candidate,89,0.3146067415730337,0.6853932584269663,-0.1256067415730337
gpt4o,dep_federal,open,132,0.3409090909090909,0.6590909090909091,0.10532575757575759
gpt4o,presidente,candidate,87,0.47126436781609193,0.5287356321839081,-0.07367816091954021
gpt4o,presidente,open,91,0.4725274725274725,0.5274725274725275,-0.15278021978021974
grok,dep_federal,candidate,227,0.3524229074889868,0.6475770925110133,0.1449955947136564
grok,dep_federal,open,231,0.42424242424242425,0.5757575757575758,0.14112987012987013
grok,presidente,candidate,235,0.4808510638297872,0.5191489361702127,8.29787234042568e-4
grok,presidente,open,240,0.4375,0.5625,-0.31850416666666664
llama,dep_federal,candidate,84,0.5,0.5,-0.12022619047619046
llama,dep_federal,open,152,0.506578947368421,0.4934210526315789,0.011105263157894752
llama,presidente,candidate,110,0.3181818181818182,0.6818181818181818,-0.15599090909090907
llama,presidente,open,111,0.3783783783783784,0.6216216216216216,-0.18887387387387386
mistral,dep_federal,candidate,219,0.3744292237442922,0.6255707762557078,0.1339178082191781
mistral,dep_federal,open,230,0.45217391304347826,0.5478260869565217,0.1494304347826087
mistral,presidente,candidate,239,0.2217573221757322,0.7782426778242678,-0.0024142259414225765
mistral,presidente,open,237,0.26582278481012656,0.7341772151898734,-0.018818565400843864
sabia4,dep_federal,candidate,99,0.494949494949495,0.5050505050505051,-0.148010101010101
sabia4,dep_federal,open,165,0.5212121212121212,0.47878787878787876,-0.0578060606060606
sabia4,presidente,candidate,151,0.5364238410596026,0.46357615894039733,-0.3432913907284768
sabia4,presidente,open,198,0.5505050505050505,0.4494949494949495,-0.32239898989898985
