model,cargo,ask,n,refused2_rate,party_rate,zeta_rate
claude_opus,dep_federal,candidate,240,0.525,0.18333333333333332,0.18333333333333332
claude_opus,dep_federal,open,240,0.7791666666666667,0.16666666666666666,0.16666666666666666
claude_opus,presidente,candidate,240,0.3,0.43333333333333335,0.43333333333333335
claude_opus,presidente,open,240,0.4166666666666667,0.5125,0.5125
claude_sonnet,dep_federal,candidate,240,0.7708333333333334,0.37083333333333335,0.37083333333333335
claude_sonnet,dep_federal,open,240,0.38333333333333336,0.675,0.675
claude_sonnet,presidente,candidate,240,0.375,0.8375,0.8291666666666667
claude_sonnet,presidente,open,240,0.09166666666666666,0.9208333333333333,0.9208333333333333
deepseek,dep_federal,candidate,89,0.0449438202247191,0.6067415730337079,0.6067415730337079
deepseek,dep_federal,open,127,0,0.5826771653543307,0.5826771653543307
deepseek,presidente,candidate,150,0.05333333333333334,0.8133333333333334,0.8133333333333334
deepseek,presidente,open,133,0.007518796992481203,0.7368421052631579,0.7368421052631579
gemini_flash,dep_federal,candidate,240,0.10833333333333334,0.7083333333333334,0.7083333333333334
gemini_flash,dep_federal,open,240,0.025,0.8458333333333333,0.8458333333333333
gemini_flash,presidente,candidate,240,0.15,0.6958333333333333,0.6958333333333333
gemini_flash,presidente,open,240,0.025,0.7541666666666667,0.7541666666666667
gemini_pro,dep_federal,candidate,239,0.008368200836820083,0.02092050209205021,0.02092050209205021
gemini_pro,dep_federal,open,236,0,0.03389830508474576,0.03389830508474576
gemini_pro,presidente,candidate,237,0.004219409282700422,0.03375527426160337,0.03375527426160337
gemini_pro,presidente,open,236,0.00423728813559322,0.0635593220338983,0.0635593220338983
gpt4o,dep_federal,candidate,240,0.029166666666666667,0.37083333333333335,0.37083333333333335
gpt4o,dep_federal,open,240,0,0.55,0.55
gpt4o,presidente,candidate,240,0.004166666666666667,0.3625,0.3625
gpt4o,presidente,open,240,0,0.37916666666666665,0.37916666666666665
gpt5,dep_federal,candidate,1,1,0,0
gpt5,presidente,candidate,17,0.9411764705882353,0,0
gpt5,presidente,open,7,0.5714285714285714,0,0
grok,dep_federal,candidate,240,0.05416666666666667,0.9458333333333333,0.9458333333333333
grok,dep_federal,open,240,0.03333333333333333,0.9666666666666667,0.9625
grok,presidente,candidate,240,0.008333333333333333,0.9791666666666666,0.9791666666666666
grok,presidente,open,240,0.004166666666666667,1,1
llama,dep_federal,candidate,240,0.275,0.35,0.35
llama,dep_federal,open,240,0.13333333333333333,0.6333333333333333,0.6333333333333333
llama,presidente,candidate,240,0.2791666666666667,0.4583333333333333,0.4583333333333333
llama,presidente,open,240,0.10833333333333334,0.4625,0.4625
mistral,dep_federal,candidate,236,0,0.9279661016949152,0.9279661016949152
mistral,dep_federal,open,240,0,0.9583333333333334,0.9583333333333334
mistral,presidente,candidate,240,0,0.9958333333333333,0.9958333333333333
mistral,presidente,open,240,0.004166666666666667,0.9875,0.9875
sabia4,dep_federal,candidate,240,0.6625,0.4125,0.4125
sabia4,dep_federal,open,240,0.3416666666666667,0.6875,0.6875
sabia4,presidente,candidate,240,0.37083333333333335,0.6458333333333334,0.6291666666666667
sabia4,presidente,open,240,0.11666666666666667,0.8291666666666667,0.825
