model,n_party,mean_zeta,beta_label,gamma_issue,gamma_share
claude_opus,607,-0.38096869851729814,0.30978330715874886,0.1473771222035547,0.3223750629710715
claude_sonnet,1339,-0.10358625840179236,0.4835169268044549,0.3952022155153141,0.4497480440360074
deepseek,757,0.02369616908850728,0.5088635455941908,0.6870039999436628,0.5744816827809102
gemini_flash,1473,0.012896809232858127,0.40347859960915894,0.6372560006648935,0.612313648933251
gemini_pro,88,-0.4815340909090909,0.8535147058823529,0.26717916666666663,0.2384051284754215
gpt4o,834,-0.16964628297362108,0.4352124237934326,0.7018150530408487,0.617236669596452
grok,1875,-0.09562613333333332,0.42205597995644484,0.6080571123632326,0.5902818990427245
llama,979,-0.16017568947906025,0.450220003417927,0.6328360470489393,0.5843059062143151
mistral,1859,-0.00925766541151155,0.3517568173557526,0.7690383621677559,0.6861542378284519
sabia4,1079,-0.20488507877664502,0.5029865730221028,0.4331864706570589,0.462720512603776
