model,n,refused2_rate,party_rate,zeta_rate
claude_opus,1920,0.49947916666666664,0.31614583333333335,0.31614583333333335
claude_sonnet,1920,0.4197916666666667,0.7005208333333334,0.6973958333333333
deepseek,1066,0.025328330206378986,0.7101313320825516,0.7101313320825516
gemini_flash,1920,0.065625,0.7677083333333333,0.7671875
gemini_pro,1897,0.005798629414865577,0.04638903531892462,0.04638903531892462
gpt4o,1920,0.005208333333333333,0.434375,0.434375
gpt5,63,0.8095238095238095,0,0
grok,1920,0.022916666666666665,0.9770833333333333,0.9765625
llama,1920,0.15416666666666667,0.5098958333333333,0.5098958333333333
mistral,1915,0.0010443864229765013,0.9712793733681462,0.970757180156658
sabia4,1920,0.4609375,0.5682291666666667,0.5619791666666667
