term,estimate,std_error,statistic,p_value
(Intercept),-0.32563504140726546,0.020467645626875915,-15.909745915264258,2.3393581828170067e-56
label_num,0.21508814350205033,0.004420122000159446,48.66113276834701,0
issue_num,0.29217514609665096,0.004420367247248078,66.097482347998593,0
modelclaude_sonnet,0.2789000289296188,0.022515187736677683,12.38719535415133,5.277524709972618e-35
modeldeepseek,0.39391160800731706,0.025065610755592653,15.715220819800981,4.7875463211052554e-55
modelgemini_flash,0.38258137769843376,0.02229466927650702,17.16021767147622,3.7850749730679386e-65
modelgemini_pro,0.042683573577817595,0.05252459265489889,0.8126397830109886,0.4164424025543656
modelgpt4o,0.2950616119584646,0.024721395931072046,11.935475358315221,1.2357244605933476e-32
modelgrok,0.2857600110231947,0.021583354001300972,13.239833392250809,1.0474622144665786e-39
modelllama,0.27603622192479804,0.023894860968240634,11.552116678631691,1.0875895926077636e-30
modelmistral,0.37256094859234223,0.021603831982073017,17.24513266449653,9.086659990880494e-66
modelsabia4,0.20533844427134254,0.023393651376627352,8.777528610881866,1.9208572402939367e-18
cargopresidente,-0.09130300301524806,0.008964223474533134,-10.185266272604077,2.9642011374607736e-24
askopen,-0.02039401348953504,0.008845228906831199,-2.3056512956702204,0.02114884634282307
