model,module,rows,usable_rows,usable_rate,refused2_rate,party_rate,zeta_rate
claude_fable,A,240,0,0,NA,NA,NA
claude_fable,B,160,0,0,NA,NA,NA
claude_fable,C,1920,0,0,NA,NA,NA
claude_fable,D,160,0,0,NA,NA,NA
claude_fable,anchor,180,0,0,NA,NA,NA
claude_fable,control,20,0,0,NA,NA,NA
claude_opus,A,240,240,1,0.5708333333333333,0.175,0.175
claude_opus,B,160,160,1,0.51875,0.24375,0.24375
claude_opus,C,1920,1920,1,0.49947916666666664,0.31614583333333335,0.31614583333333335
claude_opus,D,160,160,1,0.75,0.0125,0.0125
claude_opus,anchor,180,180,1,0.46111111111111114,0.25555555555555554,0.25555555555555554
claude_opus,control,20,20,1,0.85,0.05,0.05
claude_sonnet,A,240,240,1,0.5416666666666666,0.5208333333333334,0.5208333333333334
claude_sonnet,B,160,160,1,0.4625,0.7125,0.7125
claude_sonnet,C,1920,1920,1,0.4197916666666667,0.7005208333333334,0.6973958333333333
claude_sonnet,D,160,160,1,0.475,0.39375,0.39375
claude_sonnet,anchor,180,180,1,0.3388888888888889,0.7333333333333333,0.7333333333333333
claude_sonnet,control,20,20,1,0.6,0.15,0.15
deepseek,A,158,158,1,0.0379746835443038,0.6962025316455697,0.6962025316455697
deepseek,B,118,118,1,0.16101694915254236,0.7372881355932204,0.7372881355932204
deepseek,C,1066,1066,1,0.025328330206378986,0.7101313320825516,0.7101313320825516
deepseek,D,128,128,1,0.6171875,0.2734375,0.2734375
deepseek,anchor,92,92,1,0.043478260869565216,0.75,0.75
deepseek,control,19,19,1,0.8947368421052632,0.15789473684210525,0.15789473684210525
gemini_flash,A,240,240,1,0.020833333333333332,0.7541666666666667,0.7541666666666667
gemini_flash,B,160,160,1,0.29375,0.61875,0.61875
gemini_flash,C,1920,1920,1,0.065625,0.7677083333333333,0.7671875
gemini_flash,D,160,160,1,0.64375,0.25,0.25
gemini_flash,anchor,180,180,1,0.1111111111111111,0.7444444444444445,0.7444444444444445
gemini_flash,control,20,20,1,0.4,0.45,0.45
gemini_pro,A,235,235,1,0.04680851063829787,0.02127659574468085,0.02127659574468085
gemini_pro,B,158,158,1,0.17088607594936708,0.13924050632911392,0.13924050632911392
gemini_pro,C,1897,1897,1,0.005798629414865577,0.04638903531892462,0.04638903531892462
gemini_pro,D,157,157,1,0.3184713375796178,0,0
gemini_pro,anchor,175,175,1,0.011428571428571429,0.05142857142857143,0.05142857142857143
gemini_pro,control,20,20,1,0.55,0,0
gpt4o,A,240,240,1,0.020833333333333332,0.4083333333333333,0.4083333333333333
gpt4o,B,160,160,1,0.0625,0.7375,0.7375
gpt4o,C,1920,1920,1,0.005208333333333333,0.434375,0.434375
gpt4o,D,160,160,1,0.29375,0.4125,0.4125
gpt4o,anchor,180,180,1,0,0.5055555555555555,0.5055555555555555
gpt4o,control,20,20,1,0.5,0.35,0.35
gpt5,A,26,26,1,0.8846153846153846,0.11538461538461539,0.11538461538461539
gpt5,B,20,20,1,0.95,0,0
gpt5,C,63,63,1,0.8095238095238095,0,0
gpt5,D,15,15,1,1,0,0
gpt5,anchor,3,3,1,1,0,0
gpt5,control,9,9,1,0.8888888888888888,0,0
grok,A,240,240,1,0.0875,0.9083333333333333,0.9083333333333333
grok,B,160,160,1,0.23125,0.8375,0.8375
grok,C,1920,1920,1,0.022916666666666665,0.9770833333333333,0.9765625
grok,D,160,160,1,0.4625,0.65,0.65
grok,anchor,180,180,1,0,0.9833333333333333,0.9833333333333333
grok,control,20,20,1,0.75,0.4,0.4
llama,A,240,240,1,0.1,0.5458333333333333,0.5458333333333333
llama,B,160,160,1,0.3625,0.5875,0.5875
llama,C,1920,1920,1,0.15416666666666667,0.5098958333333333,0.5098958333333333
llama,D,160,160,1,0.45625,0.40625,0.40625
llama,anchor,180,180,1,0.06666666666666667,0.5833333333333334,0.5833333333333334
llama,control,20,20,1,0.55,0.25,0.25
mistral,A,240,240,1,0,0.9541666666666667,0.9541666666666667
mistral,B,160,160,1,0.03125,0.98125,0.98125
mistral,C,1915,1915,1,0.0010443864229765013,0.9712793733681462,0.970757180156658
mistral,D,160,160,1,0.2375,0.83125,0.83125
mistral,anchor,180,180,1,0,0.9611111111111111,0.9611111111111111
mistral,control,20,20,1,0.2,0.85,0.85
sabia4,A,240,240,1,0.7833333333333333,0.25416666666666665,0.25
sabia4,B,160,160,1,0.725,0.38125,0.38125
sabia4,C,1920,1920,1,0.4609375,0.5682291666666667,0.5619791666666667
sabia4,D,160,160,1,0.93125,0.10625,0.10625
sabia4,anchor,180,180,1,0.5277777777777778,0.55,0.5444444444444444
sabia4,control,20,20,1,0.9,0,0
