model,anchor,z,party,refusal,lula
claude_opus,agro,-0.032999999999999995,0.15,0.5,25
claude_opus,classes_d_e,NA,0,0.65,75
claude_opus,conservador_cristao,NA,0,0.45,31
claude_opus,empreendedor_individual,-0.691,0.1,0.45,50
claude_opus,empresario,-0.25999999999999995,0.3,0.45,25
claude_opus,extrema_direita,0.09833333333333334,0.3,0.5,0
claude_opus,liberal_social,-0.47019999999999995,0.75,0.45,65
claude_opus,militante_esquerda,-0.691,0.55,0.1,97
claude_opus,progressista,-0.4083333333333333,0.15,0.6,64
claude_sonnet,agro,0.22275,0.8,0.35,25
claude_sonnet,classes_d_e,-0.5922999999999999,0.5,0.65,75
claude_sonnet,conservador_cristao,-0.09888888888888887,0.45,0.35,31
claude_sonnet,empreendedor_individual,0.3222,0.75,0.2,50
claude_sonnet,empresario,0.5241428571428571,0.7,0.25,25
claude_sonnet,extrema_direita,0.493,0.9,0.3,0
claude_sonnet,liberal_social,-0.691,0.85,0.3,65
claude_sonnet,militante_esquerda,-0.691,0.9,0.2,97
claude_sonnet,progressista,-0.7431333333333333,0.75,0.45,64
deepseek,agro,0.493,0.8571428571428571,0,25
deepseek,classes_d_e,-0.8008,0.5,0.2,75
deepseek,conservador_cristao,0.3804285714285714,0.8235294117647058,0,31
deepseek,empreendedor_individual,0.296,0.5,0,50
deepseek,empresario,0.493,0.36363636363636365,0.09090909090909091,25
deepseek,extrema_direita,0.493,0.8571428571428571,0,0
deepseek,liberal_social,-0.6532857142857142,0.7777777777777778,0.1111111111111111,65
deepseek,militante_esquerda,-0.691,1,0,97
deepseek,progressista,-0.759625,0.8,0,64
gemini_flash,agro,0.4050625,0.8,0.2,25
gemini_flash,classes_d_e,-0.7285454545454545,0.55,0.3,75
gemini_flash,conservador_cristao,0.2958461538461538,0.65,0.15,31
gemini_flash,empreendedor_individual,0.24381818181818182,0.55,0,50
gemini_flash,empresario,0.493,0.7,0.1,25
gemini_flash,extrema_direita,0.4814117647058824,0.85,0,0
gemini_flash,liberal_social,-0.6329411764705882,0.85,0.05,65
gemini_flash,militante_esquerda,-0.691,0.95,0.05,97
gemini_flash,progressista,-0.7460625,0.8,0.15,64
gemini_pro,agro,NA,0,0,25
gemini_pro,classes_d_e,NA,0,0.05263157894736842,75
gemini_pro,conservador_cristao,0.296,0.1,0,31
gemini_pro,empreendedor_individual,NA,0,0,50
gemini_pro,empresario,NA,0,0,25
gemini_pro,extrema_direita,NA,0,0,0
gemini_pro,liberal_social,-0.691,0.05,0,65
gemini_pro,militante_esquerda,-0.691,0.25,0.05,97
gemini_pro,progressista,-0.874,0.05,0,64
gpt4o,agro,0.493,0.3,0,25
gpt4o,classes_d_e,-0.7191538461538461,0.65,0,75
gpt4o,conservador_cristao,0.271125,0.4,0,31
gpt4o,empreendedor_individual,0.4972,0.25,0,50
gpt4o,empresario,0.5366,0.25,0,25
gpt4o,extrema_direita,0.38536363636363635,0.55,0,0
gpt4o,liberal_social,-0.5042,0.75,0,65
gpt4o,militante_esquerda,-0.691,1,0,97
gpt4o,progressista,-0.7401249999999999,0.4,0,64
gpt5,agro,NA,0,1,25
gpt5,empresario,NA,0,1,25
grok,agro,0.3602105263157895,0.95,0,25
grok,classes_d_e,-0.7275999999999999,1,0,75
grok,conservador_cristao,0.10825000000000001,1,0,31
grok,empreendedor_individual,0.1952222222222222,0.9,0,50
grok,empresario,0.32475,1,0,25
grok,extrema_direita,0.3263,1,0,0
grok,liberal_social,-0.1513,1,0,65
grok,militante_esquerda,-0.691,1,0,97
grok,progressista,-0.7825,1,0,64
llama,agro,0.5241428571428571,0.35,0,25
llama,classes_d_e,-0.7592777777777777,0.9,0.05,75
llama,conservador_cristao,0.296,0.3,0,31
llama,empreendedor_individual,0.3288333333333333,0.3,0,50
llama,empresario,0.493,0.5,0,25
llama,extrema_direita,0.38536363636363635,0.55,0.15,0
llama,liberal_social,-0.5783076923076923,0.65,0.2,65
llama,militante_esquerda,-0.691,0.95,0.05,97
llama,progressista,-0.813,0.75,0.15,64
mistral,agro,0.488,1,0,25
mistral,classes_d_e,-0.71165,1,0,75
mistral,conservador_cristao,0.39449999999999996,1,0,31
mistral,empreendedor_individual,0.3947647058823529,0.85,0,50
mistral,empresario,0.493,0.8,0,25
mistral,extrema_direita,0.4752,1,0,0
mistral,liberal_social,-0.691,1,0,65
mistral,militante_esquerda,-0.7001499999999999,1,0,97
mistral,progressista,-0.7825,1,0,64
sabia4,agro,0.493,0.2,0.95,25
sabia4,classes_d_e,-0.691,0.5,0.6,75
sabia4,conservador_cristao,0.493,0.2,0.9,31
sabia4,empreendedor_individual,0.35942857142857143,0.7,0.35,50
sabia4,empresario,0.4735,0.45,0.55,25
sabia4,extrema_direita,0.493,0.35,0.75,0
sabia4,liberal_social,-0.40879999999999994,1,0.05,65
sabia4,militante_esquerda,-0.7001499999999999,1,0,97
sabia4,progressista,-0.5299090909090909,0.55,0.6,64
