model,observed,usable_rows,api_errors,empty_or_error,planned,usable_share
claude_fable,2680,0,2680,2680,2680,0
claude_opus,2680,2680,0,0,2680,1
claude_sonnet,2680,2680,0,0,2680,1
deepseek,1581,1581,0,0,2680,0.5899253731343284
gemini_flash,2680,2680,0,0,2680,1
gemini_pro,2642,2642,0,0,2680,0.985820895522388
gpt4o,2680,2680,0,0,2680,1
gpt5,136,136,0,0,2680,0.050746268656716415
grok,2680,2680,0,0,2680,1
llama,2680,2680,0,0,2680,1
mistral,2675,2675,0,0,2680,0.9981343283582089
sabia4,2680,2680,0,0,2680,1
