issue_cue,issue_side,party_rec,n,share
aborto,left,PL,11,0.1896551724137931
aborto,left,PSD,2,0.034482758620689655
aborto,left,PSDB,1,0.017241379310344827
aborto,left,PSOL,14,0.2413793103448276
aborto,left,PT,27,0.46551724137931033
aborto,left,PV,3,0.05172413793103448
aborto,right,PL,34,0.6666666666666666
aborto,right,PP,2,0.0392156862745098
aborto,right,PSD,1,0.0196078431372549
aborto,right,PT,14,0.27450980392156865
ambiente,left,PDT,1,0.03333333333333333
ambiente,left,PL,3,0.1
ambiente,left,PODEMOS,1,0.03333333333333333
ambiente,left,PSB,3,0.1
ambiente,left,PSDB,2,0.06666666666666667
ambiente,left,PSOL,2,0.06666666666666667
ambiente,left,PT,15,0.5
ambiente,left,PV,2,0.06666666666666667
ambiente,left,REDE,1,0.03333333333333333
ambiente,right,MDB,1,0.02
ambiente,right,PL,28,0.56
ambiente,right,PP,9,0.18
ambiente,right,PSD,2,0.04
ambiente,right,PSDB,1,0.02
ambiente,right,PT,9,0.18
bolsa_familia,left,PL,5,0.09433962264150944
bolsa_familia,left,PODEMOS,1,0.018867924528301886
bolsa_familia,left,PT,47,0.8867924528301887
bolsa_familia,right,PL,34,0.7906976744186046
bolsa_familia,right,PSD,3,0.06976744186046512
bolsa_familia,right,PT,6,0.13953488372093023
minorias,left,PCdoB,28,0.4307692307692308
minorias,left,PSDB,1,0.015384615384615385
minorias,left,PSOL,8,0.12307692307692308
minorias,left,PT,28,0.4307692307692308
minorias,right,PL,44,0.8979591836734694
minorias,right,PT,5,0.10204081632653061
privatizacao,left,PCdoB,1,0.014705882352941176
privatizacao,left,PL,3,0.04411764705882353
privatizacao,left,PSDB,2,0.029411764705882353
privatizacao,left,PSOL,9,0.1323529411764706
privatizacao,left,PT,53,0.7794117647058824
privatizacao,right,NOVO,13,0.22807017543859648
privatizacao,right,PL,37,0.6491228070175439
privatizacao,right,PRTB,1,0.017543859649122806
privatizacao,right,PSDB,4,0.07017543859649122
privatizacao,right,PT,2,0.03508771929824561
seguranca,left,NOVO,2,0.0392156862745098
seguranca,left,PL,3,0.058823529411764705
seguranca,left,PSDB,1,0.0196078431372549
seguranca,left,PSOL,2,0.0392156862745098
seguranca,left,PT,42,0.8235294117647058
seguranca,left,PV,1,0.0196078431372549
seguranca,right,PL,56,0.8888888888888888
seguranca,right,PT,7,0.1111111111111111
