model,channel,estimate,se,low,high,n_party,n_cells,completion
claude_opus,Label,0.33871898100921644,0.048033658362997673,0.244573010617741,0.43286495140069187,607,231,Complete
claude_opus,Issue,0.15274233527017653,0.0457061364365048,0.06315830785462712,0.24232636268572594,607,231,Complete
claude_sonnet,Label,0.4858857739721547,0.040102322050449515,0.40728522275327367,0.5644863251910357,1339,367,Complete
claude_sonnet,Issue,0.3931183195198367,0.04022077102983486,0.31428560830136043,0.471951030738313,1339,367,Complete
deepseek,Label,0.4426063075453359,0.04549524468956471,0.3534356279537891,0.5317769871368827,757,301,Partial
deepseek,Issue,0.6389278351044276,0.04662880560729347,0.5475353761141324,0.7303202940947229,757,301,Partial
gemini_flash,Label,0.3908248168703476,0.03900822510626434,0.3143686956620695,0.4672809380786257,1473,375,Complete
gemini_flash,Issue,0.6312132432465561,0.039355501163155615,0.5540764609667711,0.7083500255263412,1473,375,Complete
gemini_pro,Label,0.8413134011503057,0.12808517016189783,0.5902664676329861,1.0923603346676254,88,53,Partial
gemini_pro,Issue,0.1694806662680732,0.07527173543369393,0.021948064818033103,0.31701326771811333,88,53,Partial
gpt4o,Label,0.42381555404733284,0.047778486216318784,0.330169721063348,0.5174613870313176,834,308,Complete
gpt4o,Issue,0.6960703758166175,0.046416072481204704,0.6050948737534563,0.7870458778797786,834,308,Complete
grok,Label,0.42021723853313064,0.03705371442015208,0.3475919582696326,0.4928425187966287,1875,384,Partial
grok,Issue,0.6036685391453834,0.037113912073814294,0.5309252714807075,0.6764118068100594,1875,384,Partial
llama,Label,0.41673221171621516,0.04834671158679254,0.3219726570061018,0.5114917664263285,979,316,Complete
llama,Issue,0.6093894135445217,0.04827948312846939,0.5147616266127217,0.7040172004763217,979,316,Complete
mistral,Label,0.3486481957508917,0.035469127268429136,0.2791287063047706,0.41816768519701275,1859,383,Partial
mistral,Issue,0.7673008691012834,0.03550447298011748,0.6977121020602531,0.8368896361423136,1859,383,Partial
sabia4,Label,0.5657454488675598,0.03593340479953563,0.49531597546047,0.6361749222746497,1079,362,Complete
sabia4,Issue,0.5111806805907996,0.03558110016147443,0.4414417242743097,0.5809196369072894,1079,362,Complete
