model,channel,estimate,se,low,high,n_party,n_cells
claude_opus,Label,0.33871898100921644,0.048033658362997673,0.244573010617741,0.43286495140069187,607,231
claude_opus,Issue,0.15274233527017653,0.0457061364365048,0.06315830785462712,0.24232636268572594,607,231
claude_sonnet,Label,0.4858857739721547,0.040102322050449515,0.40728522275327367,0.5644863251910357,1339,367
claude_sonnet,Issue,0.3931183195198367,0.04022077102983486,0.31428560830136043,0.471951030738313,1339,367
gemini_flash,Label,0.3908248168703476,0.03900822510626434,0.3143686956620695,0.4672809380786257,1473,375
gemini_flash,Issue,0.6312132432465561,0.039355501163155615,0.5540764609667711,0.7083500255263412,1473,375
gpt4o,Label,0.42381555404733284,0.047778486216318784,0.330169721063348,0.5174613870313176,834,308
gpt4o,Issue,0.6960703758166175,0.046416072481204704,0.6050948737534563,0.7870458778797786,834,308
llama,Label,0.41673221171621516,0.04834671158679254,0.3219726570061018,0.5114917664263285,979,316
llama,Issue,0.6093894135445217,0.04827948312846939,0.5147616266127217,0.7040172004763217,979,316
sabia4,Label,0.5657454488675598,0.03593340479953563,0.49531597546047,0.6361749222746497,1079,362
sabia4,Issue,0.5111806805907996,0.03558110016147443,0.4414417242743097,0.5809196369072894,1079,362
