536 conditions × 1 models × 5 reps = 2680 prompts (temp=1.0, search=True)

  control_bare_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  control_bare_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  control_bare_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  control_bare_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  control_bare_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_bolsa_familia_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_ambiente_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_minorias_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
